dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,250.903467,92.228751,0.005864,0.586420,29.320988,1466.049383,4.309275
0.020000,250.904215,92.230505,0.007771,0.095334,-24.554278,-2693.763265,4.309403
0.020000,250.905898,92.234454,0.012064,0.214646,5.965566,1525.992170,4.309689
0.020000,250.908891,92.241485,0.019705,0.382083,8.371897,120.316541,4.310198
0.020000,250.867264,92.143493,0.126173,5.323370,247.064346,11934.622470,4.310997
0.020000,250.791655,91.965068,0.319956,9.689151,218.289007,-1438.766925,4.312152
0.020000,250.691248,91.727226,0.578124,12.908418,160.963357,-2866.282534,4.313702
0.020000,250.566324,91.429856,0.900669,16.127215,160.939878,-1.173941,4.315659
0.020000,250.417362,91.073106,1.287269,19.330024,160.140421,-39.972871,4.318033
0.020000,250.244853,90.656937,1.737776,22.525334,159.765519,-18.745053,4.320840
0.020000,250.049442,90.181445,2.251856,25.703998,158.933205,-41.615729,4.324097
0.020000,249.831823,89.646614,2.829265,28.870464,158.323306,-30.494968,4.327827
0.020000,249.592875,89.052605,3.469533,32.013390,157.146266,-58.851966,4.332054
0.020000,249.333534,88.399450,4.172292,35.137952,156.228106,-45.907986,4.336809
0.020000,249.054910,87.687299,4.937008,38.235793,154.892056,-66.802545,4.342125
0.020000,248.758271,86.916377,5.763031,41.301158,153.268245,-81.190527,4.348042
0.020000,248.444995,86.086815,6.649775,44.337196,151.801913,-73.316588,4.354607
0.020000,248.116716,85.199007,7.596332,47.327881,149.534250,-113.383157,4.361872
0.020000,247.775210,84.253276,8.601834,50.275070,147.359476,-108.738686,4.369899
0.020000,247.422486,83.250055,9.665256,53.171118,144.802384,-127.854610,4.378760
0.020000,247.060850,82.190046,10.785255,55.999968,141.442509,-167.993751,4.388537
0.020000,246.692847,81.073971,11.960436,58.759031,137.953124,-174.469273,4.399327
0.020000,246.321355,79.902811,13.189103,61.433367,133.716814,-211.815464,4.411243
0.020000,245.949623,78.677824,14.469251,64.007372,128.700220,-250.829722,4.424417
0.020000,245.581282,77.400536,15.798589,66.466918,122.977322,-286.144912,4.439004
0.020000,245.220446,76.072964,17.174325,68.786796,115.993900,-349.171079,4.455188
0.020000,244.871723,74.697614,18.593197,70.943573,107.838832,-407.753389,4.473188
0.020000,244.541334,73.282355,20.046508,72.665553,86.099035,-1086.989850,4.493192
0.020000,244.236563,71.840366,21.520352,73.692225,51.333600,-1738.271757,4.515344
0.020000,243.964223,70.385229,23.000755,74.020144,16.395944,-1746.882816,4.539797
0.020000,243.730473,68.930974,24.473676,73.646069,-18.703765,-1754.985457,4.566701
0.020000,243.540561,67.491868,25.925259,72.579140,-53.346427,-1732.133091,4.596202
0.020000,243.398589,66.082375,27.341884,70.831243,-87.394871,-1702.422219,4.628421
0.020000,243.307012,64.712548,28.714769,68.644256,-109.349323,-1097.722603,4.663557
0.020000,243.267204,63.388541,30.039374,66.230241,-120.700751,-567.571373,4.701913
0.020000,243.279928,62.116925,31.311054,63.584019,-132.311112,-580.518072,4.743794
0.020000,243.345155,60.904355,32.525377,60.716150,-143.393468,-554.117782,4.789498
0.020000,243.461907,59.757209,33.678449,57.653560,-153.129503,-486.801731,4.839285
0.020000,243.628199,58.680933,34.767496,54.452352,-160.060402,-346.544970,4.893340
0.020000,243.841147,57.679285,35.791530,51.201722,-162.531495,-123.554669,4.951728
0.020000,244.097370,56.753366,36.752246,48.035813,-158.295433,211.803140,5.014336
