dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,237.059322,98.003592,0.322973,6.459462,64.594623,645.946227,4.310999
0.100000,236.683149,97.110681,1.291892,12.918925,64.594623,0.000000,4.316358
0.100000,236.067062,95.617960,2.906758,19.378387,64.594623,0.000000,4.325632
0.100000,235.228592,93.518457,5.167570,25.837849,64.594623,-0.000000,4.339383
0.100000,234.194887,90.801714,8.074328,32.297311,64.594623,0.000000,4.358527
0.100000,233.006348,87.453836,11.627032,38.756774,64.594623,-0.000000,4.384490
0.100000,231.722315,83.456608,15.825683,45.216236,64.594623,0.000000,4.419509
0.100000,230.431273,78.787646,20.670279,51.675698,64.594623,0.000000,4.467171
0.100000,229.269017,73.422565,26.160822,58.135160,64.594623,0.000000,4.533413
0.100000,228.451663,67.343102,32.297311,64.594623,64.594623,-0.000000,4.628373
0.100000,228.334864,60.567253,39.079747,71.054085,64.594623,-0.000000,4.769281
0.100000,229.496876,53.244414,46.508128,77.513547,64.594623,0.000000,4.981141
0.100000,232.719823,45.873401,54.582456,83.973010,64.594623,0.000000,5.276111
0.100000,238.165149,39.678855,62.863129,81.640452,-23.325576,-879.201988,5.584037
0.100000,244.716941,35.402565,70.704201,75.180990,-64.594623,-412.690466,5.813395
0.100000,251.363366,32.664141,77.899327,68.721527,-64.594623,0.000000,5.962694
0.100000,257.674162,30.922966,84.448507,62.262065,-64.594623,-0.000000,6.060221
0.100000,263.471690,29.816520,90.351740,55.802603,-64.594623,-0.000000,6.126084
0.100000,268.681896,29.117942,95.609027,49.343141,-64.594623,0.000000,6.172007
0.100000,273.272554,28.683854,100.220368,42.883678,-64.594623,-0.000000,6.204777
0.100000,277.229161,28.421342,104.185763,36.424216,-64.594623,-0.000000,6.228469
0.100000,280.545059,28.268881,107.505212,29.964754,-64.594623,0.000000,6.245635
0.100000,283.217244,28.185220,110.178714,23.505291,-64.594623,-0.000000,6.257925
0.100000,285.244344,28.142738,112.206270,17.045829,-64.594623,-0.000000,6.266425
0.100000,286.625815,28.123357,113.587880,10.586367,-64.594623,0.000000,6.271841
0.100000,287.361448,28.116034,114.323543,4.126905,-64.594623,0.000000,6.274606
0.100000,287.567781,28.114342,114.529888,0.000000,-41.269047,233.255761,6.275368
0.100000,287.567781,28.114342,114.529888,0.000000,0.000000,412.690466,6.275368
0.100000,287.567781,28.114342,114.529888,0.000000,0.000000,0.000000,6.275368
