dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,223.220774,103.791537,0.395833,7.916667,79.166667,791.666667,4.311397
0.100000,222.557848,102.208567,2.112011,17.161775,92.451086,132.844190,4.320252
0.100000,221.268711,99.006828,5.563533,34.515226,173.534506,810.834203,4.339247
0.100000,219.437994,94.104543,10.796499,52.329652,178.144258,46.097519,4.371459
0.100000,217.229562,87.348276,17.904544,71.080450,187.507987,93.637289,4.423158
0.100000,214.968084,78.454434,27.081401,91.768577,206.881263,193.732759,4.507352
0.100000,213.413275,67.394102,38.250482,111.690812,199.222355,-76.589080,4.645606
0.100000,213.891227,54.626460,51.027067,127.765849,160.750371,-384.719836,4.865772
0.100000,218.217832,41.051109,65.275214,142.481461,147.156123,-135.942478,5.186426
0.100000,227.239698,29.309742,80.082434,148.072204,55.907428,-912.486948,5.545616
0.100000,238.592202,21.695148,93.752159,136.697247,-113.749572,-1696.570006,5.826618
0.100000,250.026063,17.391080,105.969285,122.171267,-145.259803,-315.102303,6.008890
0.100000,261.002079,15.020760,117.198325,112.290397,-98.808701,464.511018,6.125024
0.100000,271.119884,13.809635,127.388360,101.900353,-103.900433,-50.917322,6.198903
0.100000,279.673397,13.291262,135.957567,85.692061,-162.082920,-581.824869,6.244234
0.100000,286.388230,13.125096,142.674455,67.168885,-185.231768,-231.488487,6.271597
0.100000,291.358454,13.109642,147.644703,49.702477,-174.664078,105.676901,0.004878
0.100000,294.638169,13.141252,150.924570,32.798675,-169.038020,56.260579,0.014204
0.100000,296.264367,13.167810,152.550985,16.264149,-165.345255,36.927655,0.018411
0.100000,296.668526,13.175455,152.955216,4.042313,-122.218366,431.268890,0.019415
0.100000,296.668526,13.175455,152.955216,0.000000,-40.423126,817.952398,0.019415
