dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,250.823384,92.039986,0.395833,7.916667,79.166667,791.666667,4.311764
0.100000,250.267404,90.709930,1.837418,14.415843,64.991766,-141.749006,4.321212
0.100000,249.201568,88.051184,4.701844,28.644259,142.284153,772.923868,4.341359
0.100000,247.728481,84.072153,8.944799,42.429554,137.852951,-44.312019,4.375148
0.100000,246.031766,78.804689,14.478786,55.339876,129.103225,-87.497260,4.428395
0.100000,244.423547,72.349766,21.131034,66.522474,111.825981,-172.772437,4.512559
0.100000,243.438557,65.295876,28.253363,71.223292,47.008177,-648.178043,4.644339
0.100000,243.579802,58.754531,34.796233,65.428696,-57.945963,-1049.541403,4.840785
0.100000,244.937481,53.513800,40.209970,54.137375,-112.913208,-549.672443,5.112092
0.100000,247.447450,49.476815,44.963621,47.536506,-66.008686,469.045219,5.427174
0.100000,251.466646,46.051715,50.244269,52.806485,52.699788,1187.084734,5.707306
0.100000,257.193532,43.185819,56.648220,64.039504,112.330193,596.304057,5.912961
0.100000,264.228842,41.061926,63.997131,73.489116,94.496113,-178.340807,6.055954
0.100000,272.086450,39.686298,71.974246,79.771151,62.820350,-316.757628,6.157252
0.100000,280.434864,38.961132,80.354096,83.798499,40.273486,-225.468643,6.231800
0.100000,289.327876,38.704815,89.250801,88.967047,51.685476,114.119898,6.263691
0.100000,298.686031,38.567149,98.609969,93.591678,46.246309,-54.391663,6.273077
0.100000,308.061302,38.512164,107.985401,93.754320,1.626424,-446.198849,6.281380
0.100000,317.453032,38.529955,117.377148,93.917471,1.631505,0.050803,0.005410
0.100000,326.860779,38.610536,126.785239,94.080916,1.634450,0.029453,0.011537
0.100000,336.284286,38.743851,136.209690,94.244503,1.635870,0.014199,0.016573
0.100000,345.723460,38.919786,145.650503,94.408131,1.636283,0.004130,0.020518
0.100000,355.178338,39.128174,155.107677,94.571743,1.636123,-0.001594,0.023373
0.100000,364.649062,39.358795,164.581209,94.735316,1.635727,-0.003963,0.025137
0.100000,374.135846,39.601380,174.071094,94.898850,1.635340,-0.003876,0.025812
0.100000,383.260985,39.836003,183.199249,91.281554,-36.172961,-378.083004,0.025433
0.100000,391.247413,40.035067,191.188157,79.889082,-113.924715,-777.517545,0.024279
0.100000,397.674462,40.186638,197.616993,64.288356,-156.007265,-420.825494,0.022796
0.100000,402.518190,40.293688,202.461904,48.449108,-158.392482,-23.852171,0.021352
0.100000,405.774320,40.361420,205.718738,32.568342,-158.807652,-4.151706,0.020224
0.100000,407.439958,40.394594,207.384706,16.659683,-159.086591,-2.789383,0.019598
0.100000,407.893282,40.403440,207.838117,4.534105,-121.255788,378.308025,0.019422
0.100000,407.911699,40.403797,207.856537,0.184204,-43.499004,777.567838,0.019415
0.100000,407.911699,40.403797,207.856537,0.000000,-1.842041,416.569636,0.019415
