dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,223.198867,103.739817,0.395833,7.916667,79.166667,791.666667,4.311764
0.100000,222.533580,102.148244,2.120859,17.250252,93.335854,141.691875,4.321212
0.100000,221.242938,98.928456,5.589690,34.688315,174.380630,810.447763,4.341359
0.100000,219.418343,93.998686,10.846284,52.565938,178.776224,43.955938,4.375148
0.100000,217.233448,87.210457,17.977470,71.311864,187.459267,86.830426,4.428395
0.100000,215.020539,78.304859,27.153888,91.764179,204.523144,170.638772,4.512559
0.100000,213.507991,67.335787,38.226753,110.728649,189.644707,-148.784372,4.644339
0.100000,213.826746,54.913222,50.653407,124.266540,135.378902,-542.658044,4.840785
0.100000,217.302184,41.839454,64.181233,135.278261,110.117218,-252.616841,5.112092
0.100000,224.790415,29.813174,78.348273,141.670398,63.921362,-461.958561,5.427174
0.100000,235.129463,20.890307,92.005266,136.569929,-51.004689,-1149.260516,5.707306
0.100000,246.338806,15.218429,104.567892,125.626264,-109.436644,-584.319549,5.912961
0.100000,257.470411,11.833111,116.202882,116.349902,-92.763624,166.730208,6.055954
0.100000,268.318417,9.923873,127.217619,110.147363,-62.025386,307.382379,6.157252
0.100000,278.893986,9.000730,137.833402,106.157834,-39.895296,221.300898,6.231800
0.100000,288.743080,8.710515,147.686771,98.533690,-76.241440,-363.461439,6.263691
0.100000,298.382799,8.568682,157.327533,96.407623,-21.260664,549.807756,6.273077
0.100000,308.007147,8.512213,166.952047,96.245134,-1.624898,196.357663,6.281380
0.100000,317.615341,8.530394,176.560258,96.082117,-1.630168,-0.052701,0.005410
0.100000,327.206868,8.612532,186.152137,95.918787,-1.633300,-0.031321,0.011537
0.100000,336.781440,8.747971,195.727667,95.755296,-1.634905,-0.016046,0.016573
0.100000,346.338954,8.926101,205.286841,95.591746,-1.635507,-0.006027,0.020518
0.100000,355.879457,9.136368,214.829660,95.428192,-1.635535,-0.000277,0.023373
0.100000,365.403100,9.368272,224.356126,95.264659,-1.635328,0.002070,0.025137
0.100000,374.910107,9.611373,233.866241,95.101146,-1.635130,0.001985,0.025812
0.100000,384.023897,9.845705,242.983044,91.168026,-39.331203,-376.960734,0.025433
0.100000,391.975726,10.043909,250.937342,79.542985,-116.250408,-769.192047,0.024279
0.100000,398.358280,10.194433,257.321671,63.843290,-156.996954,-407.465465,0.022796
0.100000,403.158696,10.300527,262.123259,48.015875,-158.274151,-12.771969,0.021352
0.100000,406.380996,10.367555,265.346256,32.229978,-157.858965,4.151863,0.020224
0.100000,408.027867,10.400355,266.993454,16.471974,-157.580046,2.789183,0.019598
0.100000,408.475912,10.409098,267.441584,4.481305,-119.906684,376.733622,0.019422
0.100000,408.494113,10.409451,267.459789,0.182044,-42.992617,769.140676,0.019415
0.100000,408.494113,10.409451,267.459789,0.000000,-1.820436,411.721809,0.019415
