dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,377.606031,223.761759,0.005864,0.586420,29.320988,1466.049383,1.136217
0.020000,377.605506,223.760629,0.007110,0.062292,-26.206369,-2776.367835,1.136300
0.020000,377.604326,223.758085,0.009915,0.140232,3.896978,1505.167357,1.136487
0.020000,377.602227,223.753557,0.014906,0.249555,5.466143,78.458248,1.136820
0.020000,377.613803,223.778570,0.042468,1.378108,56.427648,2548.075225,1.137341
0.020000,377.697663,223.959947,0.242293,9.991253,430.657283,18711.481753,1.138093
0.020000,377.809228,224.201803,0.508641,13.317395,166.307070,-13217.510649,1.139102
0.020000,377.948272,224.504136,0.841414,16.638667,166.063611,-12.172909,1.140373
0.020000,378.114566,224.867061,1.240624,19.960511,166.092211,1.429973,1.141911
0.020000,378.307716,225.290469,1.706007,23.269120,165.430441,-33.088519,1.143724
0.020000,378.527361,225.774462,2.237508,26.575036,165.295788,-6.732611,1.145822
0.020000,378.773043,226.319070,2.834967,29.872987,164.897547,-19.912052,1.148214
0.020000,379.044196,226.924246,3.498113,33.157261,164.213710,-34.191855,1.150914
0.020000,379.340274,227.590150,4.226873,36.437999,164.036914,-8.839800,1.153936
0.020000,379.660549,228.316708,5.020889,39.700826,163.141329,-44.779240,1.157296
0.020000,380.004286,229.104028,5.879974,42.954260,162.671716,-23.480691,1.161015
0.020000,380.370556,229.951976,6.803646,46.183577,161.465860,-60.292802,1.165113
0.020000,380.758446,230.860687,7.791682,49.401799,160.911086,-27.738694,1.169615
0.020000,381.166840,231.830068,8.843578,52.594801,159.650121,-63.048246,1.174550
0.020000,381.594546,232.860130,9.958907,55.766464,158.583132,-53.349459,1.179950
0.020000,382.040185,233.950735,11.137047,58.906997,157.026629,-77.825130,1.185852
0.020000,382.502247,235.101765,12.377358,62.015527,155.426508,-80.006039,1.192299
0.020000,382.979075,236.313129,13.679191,65.091667,153.806991,-80.975855,1.199338
0.020000,383.468760,237.584533,15.041637,68.122296,151.531451,-113.777007,1.207026
0.020000,383.969209,238.915695,16.463763,71.106291,149.199747,-116.585208,1.215428
0.020000,384.478063,240.306195,17.944445,74.034121,146.391524,-140.411149,1.224617
0.020000,384.992676,241.755479,19.482383,76.896875,143.137693,-162.691552,1.234680
0.020000,385.508374,243.257769,21.070721,79.416913,126.001896,-856.789816,1.245680
0.020000,386.018804,244.802212,22.697326,81.330257,95.667211,-1516.734262,1.257650
0.020000,386.517824,246.377758,24.350011,82.634240,65.199126,-1523.404239,1.270621
0.020000,386.999549,247.973076,26.016473,83.323133,34.444672,-1537.722716,1.284623
0.020000,387.458558,249.576949,27.684735,83.413085,4.497614,-1497.352907,1.299679
0.020000,387.889877,251.177961,29.342830,82.904726,-25.417977,-1495.779540,1.315808
0.020000,388.290278,252.769452,30.983915,82.054287,-42.521945,-855.198423,1.333067
0.020000,388.657928,254.349589,32.606260,81.117215,-46.853581,-216.581790,1.351577
0.020000,388.990882,255.916183,34.207845,80.079275,-51.897034,-252.172662,1.371469
0.020000,389.287114,257.466720,35.786425,78.929015,-57.512958,-280.796160,1.392894
0.020000,389.544534,258.998277,37.339465,77.651989,-63.851315,-316.917883,1.416022
0.020000,389.761020,260.507481,38.864117,76.232593,-70.969826,-355.925553,1.441041
0.020000,389.934469,261.990496,40.357240,74.656169,-78.821162,-392.566769,1.468165
0.020000,390.062850,263.442808,41.815216,72.898790,-87.868971,-452.390474,1.497626
0.020000,390.144323,264.859521,43.234270,70.952685,-97.305260,-471.814429,1.529685
0.020000,390.177330,266.235058,44.610202,68.796621,-107.803201,-524.897043,1.564621
0.020000,390.160751,267.563281,45.938529,66.416349,-119.013592,-560.519591,1.602726
0.020000,390.094072,268.837823,47.214814,63.814224,-130.106252,-554.632999,1.644302
0.020000,389.977550,270.052094,48.434663,60.992464,-141.087988,-549.086773,1.689637
0.020000,389.812339,271.199918,49.594316,57.982654,-150.490487,-470.124980,1.738986
0.020000,389.600545,272.275936,50.690980,54.833184,-157.473519,-349.151570,1.792531
0.020000,389.345059,273.276550,51.723696,51.635784,-159.870010,-119.824553,1.850341
0.020000,389.049195,274.200592,52.693947,48.512571,-156.160634,185.468790,1.912313
0.020000,388.715950,275.050184,53.606559,45.630576,-144.099745,603.044462,1.978128
0.020000,388.347041,275.831077,54.470206,43.182387,-122.409473,1084.513592,2.047206
0.020000,387.941881,276.552370,55.297502,41.364776,-90.880557,1576.445778,2.118707
0.020000,387.496829,277.225495,56.104452,40.347532,-50.862187,2000.918523,2.191565
0.020000,387.005140,277.862487,56.909137,40.234228,-5.665186,2259.850049,2.264574
0.020000,386.457731,278.474093,57.729940,41.040162,40.296682,2298.093390,2.336508
0.020000,385.844642,279.068246,58.583694,42.687692,82.376522,2103.992026,2.406246
0.020000,385.156730,279.649340,59.484190,45.024782,116.854513,1723.899535,2.472868
0.020000,384.387069,280.218373,60.441361,47.858569,141.689332,1241.740971,2.535713
0.020000,383.531728,280.773740,61.461185,50.991195,156.631296,747.098163,2.594382
0.020000,382.589907,281.312254,62.546093,54.245406,162.710537,303.962061,2.648711
0.020000,381.563495,281.830139,63.695756,57.483135,161.886460,-41.203834,2.698726
0.020000,380.456470,282.323724,64.907833,60.603878,156.037127,-292.466651,2.744580
0.020000,379.274159,282.789897,66.178729,63.544767,147.044470,-449.632870,2.786514
0.020000,378.022634,283.226298,67.504157,66.271433,136.333288,-535.559076,2.824814
0.020000,376.708231,283.631348,68.879556,68.769910,124.923848,-570.471995,2.859782
0.020000,375.337161,284.004198,70.300419,71.043162,113.662594,-563.062733,2.891720
0.020000,373.915332,284.344606,71.762429,73.100511,102.867459,-539.756751,2.920916
0.020000,372.448225,284.652815,73.261561,74.956593,92.804107,-503.167595,2.947638
0.020000,370.940818,284.929439,74.794139,76.628925,83.616623,-459.374210,2.972130
0.020000,369.397585,285.175363,76.356845,78.135260,75.316722,-414.995022,2.994614
0.020000,367.822510,285.391657,77.946701,79.492818,67.877932,-371.939516,3.015290
0.020000,366.219137,285.579511,79.561041,80.716982,61.208194,-333.486909,3.034332
0.020000,364.590570,285.740185,81.197515,81.823739,55.337845,-293.517429,3.051899
0.020000,362.939551,285.874971,82.854027,82.825581,50.092081,-262.288211,3.068129
0.020000,361.268448,285.985165,84.528758,83.736574,45.549667,-227.120699,3.083147
0.020000,359.579422,286.072040,86.220017,84.562951,41.318844,-211.541136,3.097062
0.020000,357.874294,286.136845,87.926377,85.317971,37.750994,-178.392531,3.109970
0.020000,356.154686,286.180786,89.646545,86.008431,34.522987,-161.400328,3.121958
0.020000,354.422023,286.205025,91.379378,86.641626,31.659766,-143.161073,3.133103
0.020000,352.677586,286.210673,93.123825,87.222338,29.035585,-131.209034,3.143472
0.020000,350.922444,286.198793,94.879006,87.759079,26.837083,-109.925116,3.153126
0.020000,349.157581,286.170399,96.644098,88.254607,24.776411,-103.033588,3.162119
0.020000,347.383832,286.126454,98.418391,88.714649,23.002064,-88.717351,3.170501
0.020000,345.607173,286.068067,100.196009,88.880880,8.311547,-734.525818,3.178291
0.020000,343.839035,285.996697,101.965587,88.478910,-20.098468,-1420.500771,3.185491
0.020000,342.091288,285.914059,103.715287,87.484975,-49.696768,-1479.914985,3.192109
0.020000,340.375850,285.822066,105.433190,85.895149,-79.491302,-1489.726705,3.198155
0.020000,338.704656,285.722779,107.107331,83.707058,-109.404544,-1495.662087,3.203648
0.020000,337.089666,285.618367,108.725693,80.918085,-139.448669,-1502.206281,3.208605
0.020000,335.537588,285.510688,110.281501,77.790431,-156.382707,-846.701915,3.213065
0.020000,334.049438,285.401115,111.773680,74.608941,-159.074482,-134.588701,3.217074
0.020000,332.625800,285.290845,113.201581,71.395074,-160.693337,-80.942774,3.220678
0.020000,331.267215,285.180941,114.564605,68.151159,-162.195765,-75.121422,3.223915
0.020000,329.974147,285.072341,115.862225,64.881022,-163.506842,-65.553838,3.226821
0.020000,328.746993,284.965873,117.093989,61.588212,-164.640479,-56.681851,3.229427
0.020000,327.586115,284.862269,118.259481,58.274569,-165.682194,-52.085727,3.231759
0.020000,326.491862,284.762175,119.358302,54.941068,-166.675010,-49.640816,3.233845
0.020000,325.464503,284.666157,120.390139,51.591831,-167.461843,-39.341641,3.235705
0.020000,324.504320,284.574717,121.354666,48.226365,-168.273341,-40.574922,3.237360
0.020000,323.611529,284.488287,122.251631,44.848258,-168.905335,-31.599693,3.238828
0.020000,322.786340,284.407251,123.080790,41.457920,-169.516884,-30.577438,3.240127
0.020000,322.028964,284.331941,123.841900,38.055542,-170.118909,-30.101239,3.241269
0.020000,321.339547,284.262644,124.534791,34.644519,-170.551152,-21.612148,3.242269
0.020000,320.718260,284.199609,125.159268,31.223862,-171.032839,-24.084349,3.243137
0.020000,320.165219,284.143047,125.715194,27.796301,-171.378040,-17.260086,3.243885
0.020000,319.680546,284.093139,126.202430,24.361785,-171.725849,-17.390418,3.244521
0.020000,319.264346,284.050036,126.620855,20.921286,-172.024934,-14.954248,3.245052
0.020000,318.916701,284.013863,126.970377,17.476081,-172.260237,-11.765182,3.245486
0.020000,318.637678,283.984722,127.250918,14.027061,-172.451004,-9.538355,3.245828
0.020000,318.427347,283.962691,127.462399,10.574053,-172.650409,-9.970224,3.246081
0.020000,318.280345,283.947262,127.610209,7.390463,-159.179495,673.545716,3.246257
0.020000,318.185595,283.937303,127.705481,4.763601,-131.343100,1391.819709,3.246369
0.020000,318.131629,283.931626,127.759745,2.713209,-102.519618,1441.174102,3.246432
0.020000,318.106999,283.929034,127.784511,1.238316,-73.744611,1438.750363,3.246461
0.020000,318.100245,283.928323,127.791302,0.339536,-44.939033,1440.278890,3.246469
0.020000,318.099905,283.928287,127.791644,0.017111,-16.121245,1440.889430,3.246470
0.020000,318.099905,283.928287,127.791644,0.000000,-0.855538,763.285319,3.246470
