dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,404.817333,211.130645,0.000747,0.149371,14.937107,1493.710692,1.136199
0.010000,404.817399,211.130789,0.000905,0.015864,-13.350752,-2828.785901,1.136209
0.010000,404.817550,211.131112,0.001262,0.035695,1.983184,1533.393585,1.136233
0.010000,404.817817,211.131688,0.001897,0.063467,2.777129,79.394542,1.136275
0.010000,404.818234,211.132588,0.002889,0.099188,3.572106,79.497672,1.136342
0.010000,404.818836,211.133884,0.004318,0.142875,4.368772,79.666650,1.136437
0.010000,404.819654,211.135649,0.006263,0.194555,5.167953,79.918100,1.136567
0.010000,404.820724,211.137955,0.008806,0.254261,5.970641,80.268805,1.136736
0.010000,404.822078,211.140877,0.012026,0.322041,6.777999,80.735773,1.136951
0.010000,404.823896,211.144803,0.016353,0.432655,11.061322,428.332235,1.137216
0.010000,404.863908,211.231266,0.111625,9.527175,909.452007,89839.068565,1.137538
0.010000,404.911454,211.334105,0.224923,11.329821,180.264606,-72918.740120,1.137921
0.010000,404.966867,211.454089,0.357085,13.216255,188.643468,837.886235,1.138370
0.010000,405.030177,211.591346,0.508239,15.115373,189.911747,126.827901,1.138884
0.010000,405.101295,211.745754,0.678238,16.999918,188.454553,-145.719390,1.139464
0.010000,405.180237,211.917426,0.867191,18.895290,189.537199,108.264591,1.140112
0.010000,405.266982,212.106405,1.075127,20.793628,189.833790,29.659113,1.140827
0.010000,405.361455,212.312629,1.301961,22.683331,188.970267,-86.352327,1.141611
0.010000,405.463636,212.536161,1.547741,24.578000,189.466891,49.662411,1.142464
0.010000,405.573504,212.777077,1.812527,26.478595,190.059522,59.263109,1.143389
0.010000,405.691026,213.035431,2.096355,28.382781,190.418538,35.901577,1.144385
0.010000,405.816131,213.311211,2.399183,30.282893,190.011253,-40.728563,1.145454
0.010000,405.948777,213.604476,2.721053,32.186917,190.402371,39.111823,1.146599
0.010000,406.088935,213.915328,3.062041,34.098837,191.192031,78.965996,1.147819
0.010000,406.236522,214.243761,3.422110,36.006934,190.809678,-38.235285,1.149117
0.010000,406.391465,214.589800,3.801255,37.914432,190.749802,-5.987582,1.150494
0.010000,406.553694,214.953490,4.199487,39.823184,190.875182,12.537972,1.151953
0.010000,406.723220,215.335079,4.617038,41.755155,193.197092,232.191061,1.153496
0.010000,406.899850,215.734363,5.053645,43.660721,190.556669,-264.042357,1.155123
0.010000,407.083628,216.151690,5.509646,45.600043,193.932165,337.549593,1.156839
0.010000,407.274363,216.586891,5.984809,47.516306,191.626306,-230.585842,1.158645
