dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,254.057730,102.091220,0.000747,0.149371,14.937107,1493.710692,4.308107
0.010000,254.058036,102.091933,0.001523,0.077607,-7.176365,-2211.347188,4.308159
0.010000,254.058722,102.093538,0.003269,0.174578,9.697081,1687.344587,4.308275
0.010000,254.059942,102.096391,0.006371,0.310230,13.565157,386.807605,4.308482
0.010000,254.061845,102.100845,0.011215,0.484397,17.416734,385.157677,4.308805
0.010000,254.064580,102.107254,0.018183,0.696810,21.241302,382.456865,4.309270
0.010000,254.066805,102.112473,0.023857,0.567353,-12.945734,-3418.703625,4.309901
0.010000,254.052932,102.079850,0.059307,3.545074,297.772143,31071.787660,4.310724
0.010000,254.035393,102.038500,0.104223,4.491576,94.650199,-20312.194382,4.311763
0.010000,254.013776,101.987368,0.159736,5.551294,105.971786,1132.158663,4.313041
0.010000,253.987670,101.925376,0.227002,6.726550,117.525635,1155.384968,4.314581
0.010000,253.956673,101.851420,0.307191,8.018906,129.235557,1170.992211,4.316405
0.010000,253.920607,101.764895,0.400932,9.374093,135.518679,628.312158,4.318520
0.010000,253.879520,101.665694,0.508304,10.737263,136.317017,79.833836,4.320922
0.010000,253.833461,101.553682,0.629416,12.111195,137.393160,107.614298,4.323603
0.010000,253.782491,101.428728,0.764366,13.495014,138.381975,98.881517,4.326555
0.010000,253.726673,101.290672,0.913279,14.891265,139.625088,124.311235,4.329773
0.010000,253.666077,101.139346,1.076287,16.300779,140.951351,132.626279,4.333245
0.010000,253.600783,100.974571,1.253527,17.723993,142.321409,137.005807,4.336964
0.010000,253.530873,100.796151,1.445155,19.162818,143.882513,156.110486,4.340918
0.010000,253.456436,100.603878,1.651334,20.617881,145.506339,162.382545,4.345097
0.010000,253.377566,100.397534,1.872236,22.090276,147.239511,173.317239,4.349490
0.010000,253.294367,100.176894,2.108041,23.580510,149.023360,178.384848,4.354084
0.010000,253.206945,99.941720,2.358939,25.089760,150.925026,190.166571,4.358867
0.010000,253.115410,99.691761,2.625131,26.619164,152.940363,201.533699,4.363825
0.010000,253.019879,99.426762,2.906824,28.169298,155.013439,207.307605,4.368945
0.010000,252.920475,99.146462,3.204227,29.740368,157.106971,209.353204,4.374212
0.010000,252.817323,98.850593,3.517563,31.333585,159.321702,221.473122,4.379612
0.010000,252.710550,98.538875,3.847060,32.949667,161.608238,228.653580,4.385130
0.010000,252.600290,98.211030,4.192949,34.588937,163.926936,231.869795,4.390750
0.010000,252.486679,97.866779,4.555464,36.251462,166.252540,232.560456,4.396457
0.010000,252.369851,97.505832,4.934846,37.938239,168.677634,242.509404,4.402234
0.010000,252.249946,97.127902,5.331341,39.649491,171.125201,244.756695,4.408065
0.010000,252.127102,96.732699,5.745197,41.385570,173.607982,248.278091,4.413934
0.010000,252.001455,96.319936,6.176660,43.146295,176.072481,246.449856,4.419823
0.010000,251.873144,95.889325,6.625981,44.932129,178.583363,251.088243,4.425718
0.010000,251.742300,95.440577,7.093416,46.743475,181.134617,255.125419,4.431599
0.010000,251.609054,94.973407,7.579216,48.580044,183.656889,252.227143,4.437452
0.010000,251.473532,94.487535,8.083634,50.441792,186.174821,251.793203,4.443258
0.010000,251.335854,93.982683,8.606923,52.328860,188.706773,253.195209,4.449001
0.010000,251.196130,93.458572,9.149338,54.241560,191.270037,256.326466,4.454663
0.010000,251.054465,92.914933,9.711133,56.179484,193.792424,252.238697,4.460229
0.010000,250.910951,92.351494,10.292562,58.142822,196.333719,254.129458,4.465681
0.010000,250.765672,91.768003,10.893867,60.130531,198.770907,243.718790,4.471003
0.010000,250.618694,91.164188,11.515313,62.144585,201.405389,263.448244,4.476177
0.010000,250.470074,90.539807,12.157138,64.182574,203.798924,239.353438,4.481187
0.010000,250.319848,89.894600,12.819603,66.246455,206.388078,258.915481,4.486017
0.010000,250.168035,89.228324,13.502956,68.335305,208.885048,249.696923,4.490649
0.010000,250.014636,88.540733,14.207450,70.449411,211.410583,252.553554,4.495066
0.010000,249.859629,87.831590,14.933337,72.588685,213.927437,251.685401,4.499252
0.010000,249.702966,87.100655,15.680872,74.753479,216.479358,255.192075,4.503190
0.010000,249.544577,86.347690,16.450316,76.944380,219.090132,261.077368,4.506862
0.010000,249.384361,85.572458,17.241930,79.161493,221.711246,262.111444,4.510252
0.010000,249.222327,84.775419,18.055273,81.334257,217.276465,-443.478144,4.513337
0.010000,249.058587,83.957751,18.889174,83.390109,205.585144,-1169.132063,4.516098
0.010000,248.893213,83.120671,19.742433,85.325923,193.581401,-1200.374353,4.518515
0.010000,248.726238,82.265433,20.613819,87.138586,181.266345,-1231.505564,4.520569
0.010000,248.557658,81.393328,21.502068,88.824924,168.633809,-1263.253561,4.522246
0.010000,248.387439,80.505683,22.405887,90.381881,155.695700,-1293.810880,4.523532
0.010000,248.215515,79.603855,23.323957,91.806940,142.505828,-1318.987290,4.524416
0.010000,248.041795,78.689237,24.254926,93.096982,129.004245,-1350.158285,4.524888
0.010000,247.866167,77.763251,25.197421,94.249423,115.244110,-1376.013517,4.524941
0.010000,247.688503,76.827350,26.150036,95.261490,101.206690,-1403.741997,4.524567
0.010000,247.508663,75.883017,27.111341,96.130495,86.900533,-1430.615630,4.523764
0.010000,247.326499,74.931763,28.079879,96.853847,72.335213,-1456.531991,4.522528
0.010000,247.141719,73.974377,29.054934,97.505511,65.166336,-716.887693,4.520858
0.010000,246.953873,73.010895,30.036557,98.162268,65.675755,50.941879,4.518749
0.010000,246.762499,72.041346,31.024813,98.825568,66.329987,65.423152,4.516199
0.010000,246.567118,71.065749,32.019782,99.496916,67.134784,80.479734,4.513201
0.010000,246.367236,70.084121,33.021553,100.177177,68.026085,89.130049,4.509750
0.010000,246.162337,69.096471,34.030233,100.867968,69.079111,105.302656,4.505838
0.010000,245.951890,68.102805,35.045940,101.570672,70.270423,119.131184,4.501457
0.010000,245.735340,67.103124,36.068807,102.286721,71.604911,133.448797,4.496599
0.010000,245.512108,66.097423,37.098985,103.017822,73.110066,150.515483,4.491254
0.010000,245.281596,65.085705,38.136631,103.764589,74.676707,156.664113,4.485411
0.010000,245.043177,64.067971,39.181919,104.528786,76.419705,174.299819,4.479058
0.010000,244.796196,63.044224,40.235037,105.311770,78.298428,187.872329,4.472184
0.010000,244.539971,62.014474,41.296185,106.114870,80.309976,201.154742,4.464774
0.010000,244.273789,60.978737,42.365579,106.939371,82.450114,214.013846,4.456814
0.010000,243.996905,59.937042,43.443444,107.786501,84.712987,226.287281,4.448289
0.010000,243.708538,58.889432,44.530018,108.657409,87.090783,237.779562,4.439184
0.010000,243.407875,57.835966,45.625550,109.553143,89.573361,248.257864,4.429482
0.010000,243.094066,56.776726,46.730296,110.474621,92.147838,257.447683,4.419165
0.010000,242.766224,55.711823,47.844522,111.422602,94.798123,265.028520,4.408216
0.010000,242.423423,54.641392,48.968504,112.398178,97.557560,275.943621,4.396617
0.010000,242.064700,53.565612,50.102516,113.401241,100.306355,274.879566,4.384349
0.010000,241.689060,52.484712,51.246829,114.431298,103.005640,269.928464,4.371394
0.010000,241.295467,51.398966,52.401714,115.488443,105.714503,270.886280,4.357735
0.010000,240.882851,50.308702,53.567444,116.573011,108.456812,274.230978,4.343352
0.010000,240.450118,49.214326,54.744269,117.682582,110.957058,250.024565,4.328230
0.010000,239.996149,48.116323,55.932418,118.814843,113.226099,226.904069,4.312352
0.010000,239.519797,47.015245,57.132120,119.970236,115.539307,231.320868,4.295705
0.010000,239.019921,45.911770,58.343538,121.141767,117.153121,161.381331,4.278275
0.010000,238.495364,44.806653,59.566829,122.329129,118.736238,158.311751,4.260055
0.010000,237.944997,43.700792,60.802075,123.524627,119.549734,81.349568,4.241037
0.010000,237.367702,42.595181,62.049331,124.725549,120.092277,54.254264,4.221219
0.010000,236.762421,41.490972,63.308554,125.922288,119.673825,-41.845186,4.200602
0.010000,236.128146,40.389433,64.579653,127.109889,118.760132,-91.369315,4.179194
0.010000,235.463961,39.291987,65.862434,128.278160,116.827150,-193.298171,4.157007
0.010000,234.769059,38.200192,67.156616,129.418127,113.996692,-283.045798,4.134060
0.010000,234.042758,37.115738,68.461818,130.520275,110.214753,-378.193923,4.110377
0.010000,233.284538,36.040452,69.777546,131.572755,105.248070,-496.668249,4.085993
0.010000,232.494057,34.976268,71.103195,132.564923,99.216800,-603.127028,4.060948
0.010000,231.671177,33.925223,72.438046,133.485122,92.019878,-719.692187,4.035288
0.010000,230.815983,32.889421,73.781267,134.322097,83.697450,-832.242804,4.009071
0.010000,229.928791,31.871011,75.131922,135.065506,74.340949,-935.650055,3.982358
0.010000,229.010175,30.872159,76.488964,135.704135,63.862882,-1047.806761,3.955219
0.010000,228.060948,29.894995,77.851270,136.230668,52.653287,-1120.959517,3.927729
0.010000,227.082172,28.941590,79.217647,136.637651,40.698271,-1195.501594,3.899967
0.010000,226.075156,28.013919,80.586827,136.917994,28.034302,-1266.396912,3.872019
0.010000,225.041399,27.113800,81.957545,137.071767,15.377365,-1265.693663,3.843968
0.010000,223.982618,26.242900,83.328488,137.094327,2.256010,-1312.135460,3.815902
0.010000,222.900673,25.402668,84.698377,136.988905,-10.542197,-1279.820749,3.787906
0.010000,221.797537,24.594325,86.065976,136.759891,-22.901448,-1235.925129,3.760063
0.010000,220.675283,23.818865,87.430084,136.410828,-34.906327,-1200.487881,3.732454
0.010000,219.536032,23.077031,88.789573,135.948929,-46.189877,-1128.354997,3.705152
0.010000,218.382692,22.369782,90.142494,135.292050,-65.687924,-1949.804712,3.678245
0.010000,217.219094,21.698259,91.485961,134.346723,-94.532644,-2884.471959,3.651832
0.010000,216.049178,21.063232,92.817111,133.115026,-123.169704,-2863.706052,3.626006
0.010000,214.876805,20.465048,94.133274,131.616228,-149.879830,-2671.012578,3.600846
0.010000,213.705819,19.903713,95.431852,129.857854,-175.837380,-2595.754965,3.576423
0.010000,212.539792,19.378826,96.710572,127.871965,-198.588911,-2275.153077,3.552791
0.010000,211.382212,18.889730,97.967237,125.666489,-220.547568,-2195.865729,3.529996
0.010000,210.236356,18.435505,99.199839,123.260216,-240.627342,-2007.977407,3.508073
0.010000,209.105271,18.015009,100.406557,120.671841,-258.837456,-1821.011356,3.487045
0.010000,207.991920,17.626982,101.585589,117.903168,-276.867372,-1802.991689,3.466928
0.010000,206.898927,17.269984,102.735406,114.981738,-292.142939,-1527.556638,3.447728
0.010000,205.828841,16.942526,103.854474,111.906774,-307.496406,-1535.346718,3.429448
