dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,240.266953,107.991599,0.000747,0.149371,14.937107,1493.710692,4.308107
0.010000,240.266953,107.991599,0.003734,0.448113,29.874214,1493.710692,4.308159
0.010000,240.266953,107.991599,0.010456,0.896226,44.811321,1493.710692,4.308275
0.010000,240.266953,107.991599,0.022406,1.493711,59.748428,1493.710692,4.308482
0.010000,240.266953,107.991599,0.041077,2.240566,74.685535,1493.710692,4.308805
0.010000,240.266953,107.991599,0.067964,3.136792,89.622642,1493.710692,4.309270
0.010000,240.265466,107.988105,0.104560,4.182390,104.559748,1493.710692,4.309901
0.010000,240.246763,107.944122,0.152358,5.377358,119.496855,1493.710692,4.310724
0.010000,240.223140,107.888427,0.212854,6.721698,134.433962,1493.710692,4.311763
0.010000,240.194057,107.819637,0.287539,8.215409,149.371069,1493.710692,4.313041
0.010000,240.158984,107.736352,0.377909,9.858491,164.308176,1493.710692,4.314581
0.010000,240.117411,107.637165,0.485456,11.650943,179.245283,1493.710692,4.316405
0.010000,240.069136,107.521349,0.610928,13.443396,179.245283,0.000000,4.318520
0.010000,240.014267,107.388870,0.754324,15.235849,179.245283,-0.000000,4.320922
0.010000,239.952915,107.239668,0.915645,17.028302,179.245283,0.000000,4.323603
0.010000,239.885215,107.073700,1.094890,18.820755,179.245283,0.000000,4.326555
0.010000,239.811308,106.890907,1.292060,20.613208,179.245283,0.000000,4.329773
0.010000,239.731350,106.691225,1.507154,22.405660,179.245283,-0.000000,4.333245
0.010000,239.645508,106.474596,1.740173,24.198113,179.245283,0.000000,4.336964
0.010000,239.553958,106.240950,1.991116,25.990566,179.245283,-0.000000,4.340918
0.010000,239.456887,105.990217,2.259984,27.783019,179.245283,0.000000,4.345097
0.010000,239.354492,105.722325,2.546777,29.575472,179.245283,-0.000000,4.349490
0.010000,239.246979,105.437205,2.851494,31.367925,179.245283,0.000000,4.354084
0.010000,239.134558,105.134786,3.174135,33.160377,179.245283,0.000000,4.358867
0.010000,239.017448,104.814989,3.514701,34.952830,179.245283,-0.000000,4.363825
0.010000,238.895871,104.477741,3.873192,36.745283,179.245283,0.000000,4.368945
0.010000,238.770058,104.122976,4.249607,38.537736,179.245283,-0.000000,4.374212
0.010000,238.640238,103.750620,4.643947,40.330189,179.245283,0.000000,4.379612
0.010000,238.506644,103.360602,5.056211,42.122642,179.245283,0.000000,4.385130
0.010000,238.369510,102.952855,5.486399,43.915094,179.245283,0.000000,4.390750
0.010000,238.229071,102.527318,5.934513,45.707547,179.245283,0.000000,4.396457
0.010000,238.085558,102.083929,6.400550,47.500000,179.245283,0.000000,4.402234
0.010000,237.939201,101.622629,6.884513,49.292453,179.245283,0.000000,4.408065
0.010000,237.790224,101.143362,7.386399,51.084906,179.245283,0.000000,4.413934
0.010000,237.638849,100.646081,7.906211,52.877358,179.245283,0.000000,4.419823
0.010000,237.485288,100.130740,8.443947,54.669811,179.245283,0.000000,4.425718
0.010000,237.329746,99.597293,8.999607,56.462264,179.245283,0.000000,4.431599
0.010000,237.172421,99.045705,9.573192,58.254717,179.245283,-0.000000,4.437452
0.010000,237.013498,98.475946,10.164701,60.047170,179.245283,0.000000,4.443258
0.010000,236.853154,97.887986,10.774135,61.839623,179.245283,0.000000,4.449001
0.010000,236.691547,97.281800,11.401494,63.632075,179.245283,0.000000,4.454663
0.010000,236.528827,96.657371,12.046777,65.424528,179.245283,-0.000000,4.460229
0.010000,236.365125,96.014682,12.709984,67.216981,179.245283,0.000000,4.465681
0.010000,236.200558,95.353733,13.391116,69.009434,179.245283,-0.000000,4.471003
0.010000,236.035222,94.674507,14.090173,70.801887,179.245283,0.000000,4.476177
0.010000,235.869198,93.977017,14.807154,72.594340,179.245283,-0.000000,4.481187
0.010000,235.702542,93.261258,15.542060,74.386792,179.245283,0.000000,4.486017
0.010000,235.535293,92.527241,16.294890,76.179245,179.245283,-0.000000,4.490649
0.010000,235.367464,91.774979,17.065645,77.971698,179.245283,0.000000,4.495066
0.010000,235.199046,91.004492,17.854324,79.764151,179.245283,-0.000000,4.499252
0.010000,235.030003,90.215802,18.660928,81.556604,179.245283,0.000000,4.503190
0.010000,234.860273,89.408933,19.485456,83.349057,179.245283,0.000000,4.506862
0.010000,234.689765,88.583914,20.327909,85.141509,179.245283,0.000000,4.510252
0.010000,234.518508,87.741515,21.187539,86.784591,164.308176,-1493.710692,4.513337
0.010000,234.346636,86.883241,22.062854,88.278302,149.371069,-1493.710692,4.516098
0.010000,234.174236,86.010604,22.952358,89.622642,134.433962,-1493.710692,4.518515
0.010000,234.001355,85.125121,23.854560,90.817610,119.496855,-1493.710692,4.520569
0.010000,233.828000,84.228317,24.767964,91.863208,104.559748,-1493.710692,4.522246
0.010000,233.654146,83.321723,25.691077,92.759434,89.622642,-1493.710692,4.523532
0.010000,233.479738,82.406870,26.622406,93.506289,74.685535,-1493.710692,4.524416
0.010000,233.304697,81.485296,27.560456,94.103774,59.748428,-1493.710692,4.524888
0.010000,233.128923,80.558539,28.503734,94.551887,44.811321,-1493.710692,4.524941
0.010000,232.952304,79.628141,29.450747,94.850629,29.874214,-1493.710692,4.524567
0.010000,232.774719,78.695647,30.400000,95.000000,14.937107,-1493.710692,4.523764
0.010000,232.596042,77.762600,31.350000,95.000000,0.000000,-1493.710692,4.522528
0.010000,232.416011,76.829814,32.300000,95.000000,0.000000,0.000000,4.520858
0.010000,232.234218,75.897371,33.250000,95.000000,0.000000,0.000000,4.518749
0.010000,232.050253,74.965354,34.200000,95.000000,0.000000,0.000000,4.516199
0.010000,231.863704,74.033849,35.150000,95.000000,0.000000,0.000000,4.513201
0.010000,231.674153,73.102951,36.100000,95.000000,0.000000,0.000000,4.509750
0.010000,231.481177,72.172757,37.050000,95.000000,0.000000,0.000000,4.505838
0.010000,231.284347,71.243373,38.000000,95.000000,0.000000,0.000000,4.501457
0.010000,231.083226,70.314909,38.950000,95.000000,0.000000,0.000000,4.496599
0.010000,230.877371,69.387479,39.900000,95.000000,0.000000,0.000000,4.491254
0.010000,230.666333,68.461217,40.850000,95.000000,0.000000,0.000000,4.485411
0.010000,230.449652,67.536258,41.800000,95.000000,0.000000,0.000000,4.479058
0.010000,230.226859,66.612754,42.750000,95.000000,0.000000,0.000000,4.472184
0.010000,229.997477,65.690864,43.700000,95.000000,0.000000,0.000000,4.464774
0.010000,229.761018,64.770764,44.650000,95.000000,0.000000,0.000000,4.456814
0.010000,229.516985,63.852645,45.600000,95.000000,0.000000,0.000000,4.448289
0.010000,229.264871,62.936713,46.550000,95.000000,0.000000,0.000000,4.439184
0.010000,229.004155,62.023192,47.500000,95.000000,0.000000,0.000000,4.429482
0.010000,228.734311,61.112327,48.450000,95.000000,0.000000,0.000000,4.419165
0.010000,228.454799,60.204385,49.400000,95.000000,0.000000,0.000000,4.408216
0.010000,228.165069,59.299648,50.350000,95.000000,0.000000,0.000000,4.396617
0.010000,227.864565,58.398432,51.300000,95.000000,0.000000,0.000000,4.384349
0.010000,227.552721,57.501079,52.250000,95.000000,0.000000,0.000000,4.371394
0.010000,227.228967,56.607959,53.200000,95.000000,0.000000,0.000000,4.357735
0.010000,226.892723,55.719462,54.150000,95.000000,0.000000,0.000000,4.343352
0.010000,226.543410,54.836022,55.100000,95.000000,0.000000,0.000000,4.328230
0.010000,226.180450,53.958109,56.050000,95.000000,0.000000,0.000000,4.312352
0.010000,225.803259,53.086206,57.000000,95.000000,0.000000,0.000000,4.295705
0.010000,225.411272,52.220864,57.950000,95.000000,0.000000,0.000000,4.278275
0.010000,225.003922,51.362642,58.900000,95.000000,0.000000,0.000000,4.260055
0.010000,224.580668,50.512158,59.850000,95.000000,0.000000,0.000000,4.241037
0.010000,224.140978,49.670049,60.800000,95.000000,0.000000,0.000000,4.221219
0.010000,223.684356,48.837007,61.750000,95.000000,0.000000,0.000000,4.200602
0.010000,223.210331,48.013741,62.700000,95.000000,0.000000,0.000000,4.179194
0.010000,222.718475,47.201005,63.650000,95.000000,0.000000,0.000000,4.157007
0.010000,222.208404,46.399579,64.600000,95.000000,0.000000,0.000000,4.134060
0.010000,221.679786,45.610262,65.550000,95.000000,0.000000,0.000000,4.110377
0.010000,221.132352,44.833880,66.500000,95.000000,0.000000,0.000000,4.085993
0.010000,220.565897,44.071267,67.450000,95.000000,0.000000,0.000000,4.060948
0.010000,219.980289,43.323261,68.400000,95.000000,0.000000,0.000000,4.035288
0.010000,219.375476,42.590700,69.350000,95.000000,0.000000,0.000000,4.009071
0.010000,218.751485,41.874402,70.300000,95.000000,0.000000,0.000000,3.982358
0.010000,218.108434,41.175171,71.250000,95.000000,0.000000,0.000000,3.955219
0.010000,217.446522,40.493767,72.200000,95.000000,0.000000,0.000000,3.927729
0.010000,216.766034,39.830909,73.150000,95.000000,0.000000,0.000000,3.899967
0.010000,216.067349,39.187271,74.100000,95.000000,0.000000,0.000000,3.872019
0.010000,215.350909,38.563446,75.050000,95.000000,0.000000,0.000000,3.843968
0.010000,214.617249,37.959975,76.000000,95.000000,0.000000,0.000000,3.815902
0.010000,213.866961,37.377309,76.950000,95.000000,0.000000,0.000000,3.787906
0.010000,213.100690,36.815817,77.900000,95.000000,0.000000,0.000000,3.760063
0.010000,212.319141,36.275786,78.850000,95.000000,0.000000,0.000000,3.732454
0.010000,211.523060,35.757420,79.800000,95.000000,0.000000,0.000000,3.705152
0.010000,210.713771,35.261161,80.749359,94.871708,-12.829183,-1282.918302,3.678245
0.010000,209.893302,34.787673,81.696687,94.594045,-27.766290,-1493.710692,3.651832
0.010000,209.063840,34.337457,82.640493,94.167011,-42.703397,-1493.710692,3.626006
0.010000,208.227618,33.910803,83.579281,93.590606,-57.640504,-1493.710692,3.600846
