dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,226.476177,113.891978,0.000747,0.149371,14.937107,1493.710692,4.308107
0.010000,226.475871,113.891264,0.001523,0.077607,-7.176365,-2211.347188,4.308159
0.010000,226.475185,113.889659,0.003269,0.174578,9.697081,1687.344587,4.308275
0.010000,226.473965,113.886806,0.006371,0.310230,13.565157,386.807605,4.308482
0.010000,226.472062,113.882352,0.011215,0.484397,17.416734,385.157677,4.308805
0.010000,226.469327,113.875943,0.018183,0.696810,21.241302,382.456865,4.309270
0.010000,226.464127,113.863737,0.031451,1.326742,62.993192,4175.188920,4.309901
0.010000,226.440594,113.808395,0.091588,6.013791,468.704850,40571.165802,4.310724
0.010000,226.410886,113.738354,0.167669,7.608098,159.430712,-30927.413721,4.311763
0.010000,226.374338,113.651905,0.261526,9.385702,177.760476,1832.976398,4.313041
0.010000,226.330299,113.547329,0.374997,11.347083,196.138055,1837.757831,4.314581
0.010000,226.278149,113.422909,0.509904,13.490675,214.359196,1822.114149,4.316405
0.010000,226.217666,113.277804,0.667110,15.720641,222.996562,863.736577,4.318520
0.010000,226.149014,113.112047,0.846522,17.941150,222.050977,-94.558538,4.320922
0.010000,226.072368,112.925653,1.048059,20.153705,221.255460,-79.551692,4.323603
0.010000,225.987939,112.718673,1.271597,22.353762,220.005660,-124.979986,4.326555
0.010000,225.895944,112.491142,1.517022,24.542532,218.877006,-112.865392,4.329773
0.010000,225.796622,112.243104,1.784206,26.718437,217.590528,-128.647804,4.333245
0.010000,225.690232,111.974622,2.073000,28.879346,216.090953,-149.957452,4.336964
0.010000,225.577043,111.685749,2.383256,31.025623,214.627706,-146.324693,4.340918
0.010000,225.457339,111.376556,2.714812,33.155623,212.999991,-162.771586,4.345097
0.010000,225.331418,111.047115,3.067498,35.268567,211.294348,-170.564245,4.349490
0.010000,225.199590,110.697516,3.441126,37.362854,209.428664,-186.568386,4.354084
0.010000,225.062171,110.327851,3.835507,39.438082,207.522800,-190.586443,4.358867
0.010000,224.919486,109.938216,4.250446,41.493896,205.581402,-194.139817,4.363825
0.010000,224.771863,109.528721,4.685738,43.529195,203.529962,-205.143924,4.368945
0.010000,224.619640,109.099489,5.141163,45.542467,201.327220,-220.274271,4.374212
0.010000,224.463153,108.650647,5.616502,47.533905,199.143783,-218.343629,4.379612
0.010000,224.302738,108.182328,6.111533,49.503076,196.917060,-222.672321,4.385130
0.010000,224.138730,107.694679,6.626024,51.449104,194.602872,-231.418791,4.390750
0.010000,223.971463,107.187858,7.159733,53.370918,192.181319,-242.155366,4.396457
0.010000,223.801265,106.662026,7.712423,55.268969,189.805103,-237.621598,4.402234
0.010000,223.628456,106.117356,8.283850,57.142713,187.374429,-243.067335,4.408065
0.010000,223.453347,105.554025,8.873769,58.991942,184.922945,-245.148421,4.413934
0.010000,223.276242,104.972226,9.481927,60.815834,182.389125,-253.381970,4.419823
0.010000,223.097432,104.372154,10.108074,62.614624,179.878992,-251.013380,4.425718
0.010000,222.917192,103.754010,10.751959,64.388565,177.394096,-248.489578,4.431599
0.010000,222.735787,103.118004,11.413330,66.137057,174.849199,-254.489713,4.437452
0.010000,222.553465,102.464356,12.091929,67.859954,172.289718,-255.948061,4.443258
0.010000,222.370453,101.793289,12.787504,69.557439,169.748540,-254.117812,4.449001
0.010000,222.186964,101.105029,13.499804,71.229974,167.253443,-249.509650,4.454663
0.010000,222.003189,100.399809,14.228575,72.877105,164.713182,-254.026141,4.460229
0.010000,221.819298,99.677870,14.973567,74.499200,162.209427,-250.375537,4.465681
0.010000,221.635444,98.939463,15.734517,76.095061,159.586160,-262.326706,4.471003
0.010000,221.451750,98.184826,16.511190,77.667301,157.223984,-236.217578,4.476177
0.010000,221.268322,97.414227,17.303320,79.212961,154.565977,-265.800682,4.481187
0.010000,221.085237,96.627915,18.110665,80.734496,152.153470,-241.250737,4.486017
0.010000,220.902551,95.826158,18.932972,82.230686,149.619053,-253.441632,4.490649
0.010000,220.720292,95.009225,19.769989,83.701708,147.102174,-251.687880,4.495066
0.010000,220.538463,94.177395,20.621460,85.147158,144.545035,-255.713900,4.499252
0.010000,220.357039,93.330949,21.487130,86.567002,141.984424,-256.061194,4.503190
0.010000,220.175968,92.470175,22.366743,87.961288,139.428570,-255.585331,4.506862
0.010000,219.995170,91.595370,23.260036,89.329295,136.800642,-262.792853,4.510252
0.010000,219.814690,90.707611,24.165955,90.591900,126.260524,-1054.011782,4.513337
0.010000,219.634685,89.808730,25.082682,91.672672,108.077241,-1818.328324,4.516098
0.010000,219.455259,88.900536,26.008431,92.574912,90.223998,-1785.324277,4.518515
0.010000,219.276472,87.984808,26.941448,93.301751,72.683847,-1754.015081,4.520569
0.010000,219.098342,87.063306,27.880009,93.856072,55.432095,-1725.175169,4.522246
0.010000,218.920854,86.137764,28.822416,94.240716,38.464412,-1696.768372,4.523532
0.010000,218.743962,85.209885,29.767006,94.458920,21.820379,-1664.403232,4.524416
0.010000,218.567599,84.281354,30.712137,94.513153,5.423352,-1639.702729,4.524888
0.010000,218.391679,83.353827,31.656200,94.406330,-10.682336,-1610.568798,4.524941
0.010000,218.216105,82.428933,32.597611,94.141097,-26.523239,-1584.090304,4.524567
0.010000,218.040774,81.508278,33.534813,93.720161,-42.093662,-1557.042267,4.523764
0.010000,217.865585,80.593437,34.466276,93.146329,-57.383132,-1528.947024,4.522528
0.010000,217.690303,79.685252,35.391222,92.494588,-65.174149,-779.101702,4.520858
0.010000,217.514562,78.783847,36.309599,91.837663,-65.692470,-51.832130,4.518749
0.010000,217.338007,77.889362,37.221342,91.174315,-66.334799,-64.232848,4.516199
0.010000,217.160290,77.001949,38.126375,90.503335,-67.098062,-76.326287,4.513201
0.010000,216.981071,76.121780,39.024604,89.822916,-68.041823,-94.376135,4.509750
0.010000,216.800017,75.249043,39.915924,89.131932,-69.098404,-105.658136,4.505838
0.010000,216.616803,74.383941,40.800214,88.429022,-70.291026,-119.262133,4.501457
0.010000,216.431112,73.526694,41.677343,87.712856,-71.616580,-132.555460,4.496599
0.010000,216.242634,72.677536,42.547166,86.982328,-73.052838,-143.625749,4.491254
0.010000,216.051070,71.836728,43.409520,86.235411,-74.691644,-163.880680,4.485411
0.010000,215.856126,71.004546,44.264231,85.471078,-76.433345,-174.170075,4.479058
0.010000,215.657521,70.181283,45.111110,84.687976,-78.310149,-187.680403,4.472184
0.010000,215.454982,69.367254,45.949958,83.884779,-80.319752,-200.960283,4.464774
0.010000,215.248247,68.562791,46.780560,83.060193,-82.458590,-213.883786,4.456814
0.010000,215.037066,67.768248,47.602690,82.212978,-84.721515,-226.292504,4.448289
0.010000,214.821204,66.983993,48.416110,81.341964,-87.101421,-237.990644,4.439184
0.010000,214.600436,66.210418,49.220570,80.446075,-89.588820,-248.739845,4.429482
0.010000,214.374556,65.447928,50.015814,79.524362,-92.171358,-258.253860,4.419165
0.010000,214.143374,64.696946,50.801574,78.576029,-94.833292,-266.193318,4.408216
0.010000,213.906716,63.957905,51.577583,77.600843,-97.518609,-268.531716,4.396617
0.010000,213.664429,63.231252,52.343564,76.598133,-100.270948,-275.233955,4.384349
