dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,114.916115,87.536233,0.395833,7.916667,79.166667,791.666667,0.895059
0.100000,116.295222,89.191443,2.550284,21.544506,136.278392,571.117256,0.856976
0.100000,119.306710,92.395561,6.947491,43.972067,224.275613,879.972205,0.774854
0.100000,124.463258,96.806282,13.733097,67.856064,238.839964,145.643516,0.638798
0.100000,132.357587,101.563849,22.950194,92.170965,243.149015,43.090501,0.445586
0.100000,142.999054,105.223456,34.203351,112.531571,203.606061,-395.429533,0.221573
0.100000,154.885080,106.661276,46.176025,119.726748,71.951771,-1316.542899,0.029100
0.100000,166.214018,106.237858,57.512873,113.368480,-63.582685,-1355.344565,6.189351
0.100000,176.535778,104.906751,67.920110,104.072361,-92.961184,-293.784987,6.128761
0.100000,186.069722,103.332141,77.583209,96.630992,-74.413695,185.474885,6.117884
0.100000,194.920491,101.981285,86.536472,89.532634,-70.983584,34.301108,6.154301
0.100000,203.010514,101.258195,94.658746,81.222736,-83.098976,-121.153921,6.245961
0.100000,210.042619,101.507817,101.695281,70.365348,-108.573881,-254.749043,0.126486
0.100000,215.653891,102.871456,107.469870,57.745891,-126.194565,-176.206843,0.370587
0.100000,219.909916,105.228492,112.334987,48.651170,-90.947212,352.473530,0.642276
0.100000,223.203795,108.323626,116.854887,45.199003,-34.521668,564.255444,0.854961
0.100000,225.653163,111.588164,120.936139,40.812515,-43.864883,-93.432148,0.991696
0.100000,227.342641,114.432483,124.244384,33.082452,-77.300634,-334.357515,1.074552
0.100000,228.375353,116.453696,126.514141,22.697569,-103.848827,-265.481930,1.121139
0.100000,228.853809,117.472086,127.639324,11.251835,-114.457344,-106.085171,1.141788
0.100000,228.967255,117.721690,127.913499,2.741755,-85.100799,293.565449,1.146602
0.100000,228.967255,117.721690,127.913499,0.000000,-27.417546,576.832532,1.146602
