dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,175.707800,83.105168,0.326237,6.524745,65.247446,652.474462,0.031618
0.100000,176.685956,83.138146,1.304949,13.049489,65.247446,0.000000,0.035823
0.100000,178.315864,83.202602,2.936135,19.574234,65.247446,-0.000000,0.043332
0.100000,180.596769,83.314513,5.219796,26.098978,65.247446,0.000000,0.054933
0.100000,183.527012,83.499890,8.155931,32.623723,65.247446,-0.000000,0.071802
0.100000,187.103065,83.798824,11.744540,39.148468,65.247446,0.000000,0.095601
0.100000,191.317552,84.271332,15.985624,45.673212,65.247446,0.000000,0.128618
0.100000,196.155301,85.005497,20.879183,52.197957,65.247446,0.000000,0.173955
0.100000,201.585613,86.128169,26.425216,58.722702,65.247446,-0.000000,0.235710
0.100000,207.547726,87.817107,32.623723,65.247446,65.247446,0.000000,0.318965
0.100000,213.597447,90.159832,39.114126,64.560612,-6.868341,-721.157874,0.422741
0.100000,219.037934,92.976995,45.243950,58.035867,-65.247446,-583.791050,0.534879
0.100000,223.591127,96.016783,50.721300,51.511123,-65.247446,0.000000,0.643382
0.100000,227.303090,99.096056,55.546175,44.986378,-65.247446,0.000000,0.741741
0.100000,230.256499,102.041559,59.718575,38.461634,-65.247446,0.000000,0.826053
0.100000,232.550603,104.710271,63.238501,31.936889,-65.247446,-0.000000,0.894982
0.100000,234.282713,106.995028,66.105953,25.412144,-65.247446,0.000000,0.948879
0.100000,235.536599,108.820737,68.320930,18.887400,-65.247446,0.000000,0.988840
0.100000,236.377476,110.137621,69.883433,12.362655,-65.247446,0.000000,1.016070
0.100000,236.850777,110.914880,70.793461,5.837911,-65.247446,-0.000000,1.031548
0.100000,237.000044,111.165715,71.085357,0.000000,-58.379105,68.683412,1.036452
0.100000,237.000044,111.165715,71.085357,0.000000,0.000000,583.791050,1.036452
0.100000,237.000044,111.165715,71.085357,0.000000,0.000000,0.000000,1.036452
