dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,163.015987,64.582547,0.000747,0.149371,14.937107,1493.710692,1.081063
0.010000,163.015503,64.581640,0.001775,0.102864,-4.650687,-1958.779402,1.080995
0.010000,163.014414,64.579597,0.004090,0.231468,12.860404,1751.109067,1.080840
0.010000,163.012477,64.575966,0.008206,0.411580,18.011215,515.081182,1.080566
0.010000,163.009446,64.570291,0.014639,0.643303,23.172222,516.100668,1.080137
0.010000,163.005077,64.562118,0.023907,0.926802,28.349901,517.767906,1.079519
0.010000,162.999117,64.550990,0.036530,1.262325,33.552317,520.241613,1.078678
0.010000,163.002290,64.556888,0.043227,0.669719,-59.260567,-9281.288410,1.077577
0.010000,163.021051,64.591731,0.082801,3.957344,328.762473,38802.303962,1.076181
0.010000,163.044240,64.634638,0.131573,4.877231,91.988690,-23677.378317,1.074454
0.010000,163.072347,64.686409,0.190482,5.890835,101.360435,937.174574,1.072358
0.010000,163.105881,64.747837,0.260466,6.998488,110.765307,940.487154,1.069853
0.010000,163.145096,64.819211,0.341904,8.143751,114.526293,376.098562,1.066917
0.010000,163.190039,64.900401,0.434704,9.279957,113.620549,-90.574394,1.063545
0.010000,163.240768,64.991272,0.538775,10.407111,112.715481,-90.506806,1.059728
0.010000,163.297341,65.091656,0.654003,11.522855,111.574406,-114.107433,1.055459
0.010000,163.359801,65.201330,0.780216,12.621314,109.845845,-172.856156,1.050730
0.010000,163.428240,65.320127,0.917316,13.709992,108.867857,-97.798766,1.045530
0.010000,163.502718,65.447796,1.065121,14.780520,107.052775,-181.508161,1.039848
0.010000,163.583309,65.584082,1.223453,15.833142,105.262148,-179.062729,1.033674
0.010000,163.670095,65.728713,1.392124,16.867123,103.398169,-186.397861,1.026995
0.010000,163.763165,65.881407,1.570947,17.882250,101.512649,-188.552086,1.019798
0.010000,163.862613,66.041859,1.759718,18.877166,99.491629,-202.101947,1.012067
0.010000,163.968517,66.209712,1.958188,19.846988,96.982182,-250.944698,1.003789
0.010000,164.080977,66.384621,2.166131,20.794301,94.731255,-225.092740,0.994949
0.010000,164.200102,66.566229,2.383323,21.719150,92.484918,-224.633678,0.985530
0.010000,164.325991,66.754144,2.609508,22.618585,89.943493,-254.142483,0.975514
0.010000,164.458748,66.947954,2.844428,23.491920,87.333495,-260.999825,0.964885
0.010000,164.598469,67.147219,3.087796,24.336866,84.494599,-283.889612,0.953626
0.010000,164.745289,67.351533,3.339392,25.159575,82.270980,-222.361879,0.941719
0.010000,164.899309,67.560423,3.598925,25.953318,79.374256,-289.672390,0.929147
0.010000,165.060661,67.773444,3.866156,26.723076,76.975772,-239.848434,0.915894
0.010000,165.229477,67.990132,4.140842,27.468605,74.552966,-242.280579,0.901942
0.010000,165.405893,68.210013,4.422746,28.190411,72.180572,-237.239416,0.887278
0.010000,165.590086,68.432649,4.711700,28.895362,70.495080,-168.549167,0.871887
0.010000,165.782210,68.657558,5.007497,29.579685,68.432272,-206.280861,0.855758
0.010000,165.982470,68.884307,5.310018,30.252136,67.245175,-118.709690,0.838883
0.010000,166.191092,69.112468,5.619179,30.916070,66.393345,-85.182982,0.821254
0.010000,166.408329,69.341624,5.934939,31.576070,66.000000,-39.334433,0.802872
0.010000,166.634492,69.571405,6.257350,32.241084,66.501466,50.146580,0.783737
0.010000,166.869922,69.801447,6.586511,32.916042,67.495765,99.429830,0.763858
0.010000,167.115037,70.031439,6.922632,33.612101,69.605892,211.012772,0.743248
0.010000,167.370316,70.261094,7.266011,34.337899,72.579845,297.395296,0.721926
0.010000,167.636312,70.490159,7.617044,35.103342,76.544280,396.443435,0.699920
0.010000,167.913677,70.718427,7.976263,35.921860,81.851755,530.747513,0.677265
0.010000,168.203145,70.945709,8.344297,36.803405,88.154488,630.273312,0.654003
0.010000,168.505560,71.171852,8.721915,37.761774,95.836970,768.248238,0.630184
0.010000,168.821864,71.396714,9.110001,38.808694,104.692005,885.503461,0.605869
0.010000,169.153106,71.620166,9.509566,39.956432,114.773799,1008.179397,0.581124
0.010000,169.500435,71.842075,9.921731,41.216554,126.012185,1123.838663,0.556023
0.010000,169.865090,72.062291,10.347723,42.599122,138.256813,1224.462707,0.530650
0.010000,170.248388,72.280637,10.788849,44.112674,151.355162,1309.834916,0.505091
0.010000,170.651712,72.496901,11.246496,45.764640,165.196565,1384.140376,0.479438
0.010000,171.076109,72.710633,11.721674,47.517841,175.320095,1012.352934,0.453809
0.010000,171.522208,72.921181,12.214964,49.328965,181.112440,579.234538,0.428342
0.010000,171.990525,73.127878,12.726867,51.190283,186.131818,501.937812,0.403169
0.010000,172.481424,73.330054,13.257769,53.090194,189.991096,385.927760,0.378417
