dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,122.901966,275.121812,0.005864,0.586420,29.320988,1466.049383,0.000493
0.020000,122.904310,275.121813,0.008209,0.117217,-23.460130,-2639.055885,0.000337
0.020000,122.911746,275.121814,0.015645,0.371821,12.730183,1809.515638,6.283171
0.020000,123.014899,275.121781,0.118797,5.157610,239.289437,11327.962735,6.282549
0.020000,123.175986,275.121600,0.279885,8.054381,144.838556,-4722.544092,6.281584
0.020000,123.407762,275.121069,0.511661,11.588817,176.721834,1594.163916,6.280206
0.020000,123.716448,275.119869,0.820350,15.434433,192.280781,777.947376,6.278392
0.020000,124.101745,275.117591,1.205653,19.265161,191.536421,-37.218021,6.276162
0.020000,124.563276,275.113743,1.667201,23.077392,190.611505,-46.245786,6.273540
0.020000,125.100591,275.107755,2.204549,26.867405,189.500697,-55.540401,6.270557
0.020000,125.713161,275.099000,2.817181,30.631596,188.209520,-64.558840,6.267245
0.020000,126.400380,275.086800,3.504509,34.366397,186.740037,-73.474196,6.263646
0.020000,127.161569,275.070452,4.265873,38.068221,185.091244,-82.439620,6.259802
0.020000,127.995972,275.049238,5.100546,41.733637,183.270773,-91.023536,6.255762
0.020000,128.902761,275.022450,6.007730,45.359204,181.278345,-99.621426,6.251579
0.020000,129.881033,274.989409,6.986560,48.941480,179.113791,-108.227694,6.247311
0.020000,130.929819,274.949490,8.036105,52.477289,176.790449,-116.167083,6.243021
0.020000,132.048083,274.902140,9.155372,55.963328,174.301947,-124.425104,6.238773
0.020000,133.234727,274.846908,10.343300,59.396423,171.654786,-132.358075,6.234640
0.020000,134.488592,274.783465,11.598769,62.773449,168.851305,-140.174048,6.230695
0.020000,135.808465,274.711632,12.920595,66.091297,165.892360,-147.947234,6.227017
0.020000,137.193079,274.631405,14.307532,69.346842,162.777267,-155.754671,6.223691
0.020000,138.641119,274.542980,15.758270,72.536874,159.501588,-163.783929,6.220802
0.020000,140.151222,274.446779,17.271433,75.658192,156.065895,-171.784667,6.218443
0.020000,141.721976,274.343477,18.845580,78.707335,152.457162,-180.436648,6.216710
0.020000,143.351920,274.234031,20.479195,81.680738,148.670166,-189.349785,6.215703
0.020000,145.039542,274.119700,22.170686,84.574530,144.689607,-199.027943,6.215530
0.020000,146.777482,274.002467,23.912575,87.094463,125.996611,-934.649831,6.216297
0.020000,148.552770,273.884993,25.691745,88.958511,93.202404,-1639.710355,6.218097
0.020000,150.352769,273.770127,27.495405,90.183022,61.225592,-1598.840597,6.221001
0.020000,152.165186,273.660792,29.311117,90.785574,30.127593,-1554.899915,6.225056
0.020000,153.978074,273.559866,31.126813,90.784790,-0.039216,-1508.340459,6.230286
0.020000,155.779842,273.470060,32.930818,90.200250,-29.226980,-1459.388211,6.236685
0.020000,157.564740,273.393581,34.717353,89.326766,-43.674243,-722.363143,6.244249
0.020000,159.332600,273.332260,36.486277,88.446176,-44.029466,-17.761142,6.252987
0.020000,161.083206,273.287882,38.237444,87.558379,-44.389884,-18.020909,6.262909
0.020000,162.816289,273.262181,39.970718,86.663689,-44.734467,-17.229148,6.274023
0.020000,164.531537,273.256837,41.685974,85.762811,-45.043929,-15.473110,0.003154
0.020000,166.228598,273.273472,43.383117,84.857145,-45.283302,-11.968642,0.016676
0.020000,167.907091,273.313645,45.062091,83.948702,-45.422144,-6.942097,0.031411
0.020000,169.566616,273.378844,46.722896,83.040223,-45.423943,-0.089931,0.047356
0.020000,171.206762,273.470485,48.365600,82.135211,-45.250590,8.667640,0.064507
0.020000,172.827127,273.589904,49.990360,81.238020,-44.859554,19.551787,0.082855
0.020000,174.427334,273.738352,51.597438,80.353870,-44.207505,32.602473,0.102382
0.020000,176.007041,273.916996,53.187214,79.488820,-43.252485,47.750954,0.123061
0.020000,177.565966,274.126913,54.760209,78.649730,-41.954530,64.897769,0.144860
0.020000,179.103897,274.369093,56.317091,77.844120,-40.280471,83.702964,0.167732
0.020000,180.620710,274.644442,57.858693,77.080106,-38.200717,103.987665,0.191622
0.020000,182.116378,274.953783,59.386017,76.366172,-35.696667,125.202542,0.216465
0.020000,183.590982,275.297864,60.900231,75.710743,-32.771478,146.259410,0.242181
0.020000,185.044705,275.677362,62.402672,75.122056,-29.434350,166.856406,0.268682
0.020000,186.477837,276.092894,63.894830,74.607877,-25.708930,186.271040,0.295868
0.020000,187.890760,276.545017,65.378329,74.174930,-21.647370,203.077978,0.323632
0.020000,189.283933,277.034234,66.854900,73.828556,-17.318708,216.433077,0.351857
0.020000,190.657869,277.560994,68.326354,73.572696,-12.792983,226.286291,0.380424
0.020000,192.013119,278.125694,69.794546,73.409618,-8.153881,231.955098,0.409207
0.020000,193.350245,278.728669,71.261341,73.339730,-3.494434,232.972354,0.438085
0.020000,194.669784,279.370182,72.728556,73.360763,1.051659,227.304646,0.466933
0.020000,196.197967,280.159767,74.448669,86.005649,632.244325,31559.633291,0.475248
0.020000,198.083533,281.112602,76.561310,105.632056,981.320341,17453.800766,0.461070
0.020000,199.935549,282.019616,78.623503,103.109632,-126.121214,-55372.077709,0.450257
0.020000,201.751448,282.888377,80.636518,100.650792,-122.941992,158.961060,0.442722
