dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,122.917263,245.121816,0.000747,0.149371,14.937107,1493.710692,0.000527
0.010000,122.916964,245.121816,0.001046,0.029880,-11.949112,-2688.621917,0.000507
0.010000,122.916292,245.121816,0.001718,0.067214,3.733375,1568.248712,0.000462
0.010000,122.915098,245.121815,0.002912,0.119436,5.222199,148.882382,0.000383
0.010000,122.913233,245.121815,0.004777,0.186476,6.704079,148.187992,0.000258
0.010000,122.910551,245.121814,0.007459,0.268222,8.174589,147.051017,0.000079
0.010000,122.931538,245.121812,0.028446,2.098730,183.050784,17487.619570,6.283022
0.010000,122.974586,245.121799,0.071495,4.304819,220.608862,3755.807747,6.282705
0.010000,123.029085,245.121762,0.125993,5.449882,114.506306,-10610.255563,6.282305
0.010000,123.096393,245.121686,0.193301,6.730802,128.091998,1358.569204,6.281813
0.010000,123.177873,245.121550,0.274782,8.148016,141.721398,1362.939946,6.281221
0.010000,123.274894,245.121325,0.371803,9.702154,155.413861,1369.246342,6.280519
0.010000,123.388158,245.120977,0.485068,11.326451,162.429615,701.575413,6.279705
0.010000,123.517699,245.120466,0.614610,12.954189,162.773816,34.420095,6.278782
0.010000,123.663555,245.119749,0.760467,14.585761,163.157197,38.338106,6.277751
0.010000,123.825769,245.118775,0.922684,16.221669,163.590809,43.361160,6.276616
0.010000,124.004388,245.117491,1.101308,17.862387,164.071810,48.100059,6.275379
0.010000,124.199465,245.115838,1.296391,19.508372,164.598548,52.673878,6.274045
0.010000,124.411056,245.113752,1.507993,21.160118,165.174542,57.599327,6.272617
0.010000,124.639222,245.111167,1.736174,22.818126,165.800837,62.629502,6.271100
0.010000,124.884030,245.108012,1.981002,24.482780,166.465420,66.458385,6.269497
0.010000,125.145549,245.104211,2.242548,26.154658,167.187762,72.234161,6.267814
0.010000,125.423853,245.099687,2.520889,27.834115,167.945700,75.793768,6.266056
0.010000,125.719022,245.094360,2.816106,29.521706,168.759065,81.336484,6.264227
0.010000,126.031139,245.088146,3.128285,31.217852,169.614638,85.557386,6.262335
0.010000,126.360290,245.080959,3.457514,32.922923,170.507105,89.246647,6.260384
0.010000,126.706567,245.072714,3.803890,34.637555,171.463173,95.606835,6.258382
0.010000,127.070066,245.063322,4.167510,36.362020,172.446554,98.338096,6.256334
0.010000,127.450886,245.052694,4.548478,38.096810,173.479005,103.245077,6.254247
0.010000,127.849131,245.040742,4.946902,39.842411,174.560037,108.103176,6.252130
0.010000,128.264908,245.027378,5.362895,41.599259,175.684843,112.480626,6.249988
0.010000,128.698331,245.012513,5.796572,43.367699,176.843971,115.912766,6.247831
0.010000,129.149513,244.996063,6.248054,45.148211,178.051202,120.723099,6.245665
0.010000,129.618575,244.977944,6.717466,46.941185,179.297425,124.622299,6.243500
0.010000,130.105641,244.958075,7.204937,48.747111,180.592534,129.510955,6.241344
0.010000,130.610839,244.936379,7.710600,50.566330,181.921970,132.943552,6.239206
0.010000,131.134300,244.912785,8.234593,52.399284,183.295386,137.341586,6.237095
0.010000,131.676161,244.887224,8.777057,54.246355,184.707058,141.167225,6.235020
0.010000,132.236562,244.859636,9.338136,56.107988,186.163360,145.630204,6.232992
0.010000,132.815648,244.829967,9.917982,57.984516,187.652794,148.943440,6.231019
0.010000,133.413567,244.798169,10.516746,59.876440,189.192399,153.960463,6.229113
0.010000,134.030474,244.764206,11.134587,61.784081,190.764096,157.169668,6.227283
0.010000,134.666526,244.728049,11.771666,63.707884,192.380324,161.622797,6.225542
0.010000,135.321887,244.689681,12.428149,65.648289,194.040446,166.012282,6.223898
0.010000,135.996723,244.649097,13.104205,67.605606,195.731712,169.126525,6.222365
0.010000,136.691210,244.606304,13.800008,69.580385,197.477903,174.619156,6.220953
0.010000,137.405525,244.561324,14.515738,71.572984,199.259873,178.196984,6.219675
