dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,253.385454,299.594455,0.000747,0.149371,14.937107,1493.710692,4.154215
0.010000,253.385579,299.594655,0.000983,0.023644,-12.572708,-2750.981529,4.154231
0.010000,253.385861,299.595107,0.001515,0.053197,2.955277,1552.798492,4.154267
0.010000,253.386362,299.595909,0.002461,0.094564,4.136767,118.149073,4.154330
0.010000,253.387144,299.597162,0.003938,0.147737,5.317307,118.053947,4.154428
0.010000,253.388270,299.598967,0.006065,0.212700,6.496288,117.898128,4.154570
0.010000,253.389802,299.601422,0.008960,0.289430,7.672952,117.666362,4.154763
0.010000,253.391801,299.604629,0.012739,0.377894,8.846385,117.343314,4.155015
0.010000,253.394329,299.608686,0.017519,0.478049,10.015520,116.913539,4.155333
0.010000,253.387363,299.597492,0.030704,1.318495,84.044579,7402.905920,4.155727
0.010000,253.343399,299.526809,0.113944,8.324022,700.552702,61650.812293,4.156202
0.010000,253.291122,299.442661,0.213009,9.906458,158.243597,-54230.910559,4.156768
0.010000,253.230185,299.344441,0.328596,11.558716,165.225784,698.218765,4.157427
0.010000,253.160617,299.232132,0.460706,13.211044,165.232860,0.707519,4.158179
0.010000,253.082444,299.105705,0.609349,14.864238,165.319361,8.650121,4.159024
0.010000,252.995703,298.965141,0.774522,16.517361,165.312320,-0.704039,4.159962
0.010000,252.900424,298.810403,0.956242,18.171936,165.457462,14.514184,4.160992
0.010000,252.796651,298.641461,1.154510,19.826808,165.487271,2.980878,4.162114
0.010000,252.684426,298.458282,1.369333,21.482324,165.551554,6.428279,4.163327
0.010000,252.563797,298.260826,1.600721,23.138757,165.643313,9.175917,4.164631
0.010000,252.434813,298.049053,1.848682,24.796131,165.737414,9.410132,4.166025
0.010000,252.297527,297.822919,2.113227,26.454474,165.834312,9.689784,4.167508
0.010000,252.151998,297.582378,2.394365,28.113819,165.934484,10.017217,4.169080
0.010000,251.998285,297.327383,2.692107,29.774203,166.038430,10.394615,4.170740
0.010000,251.836453,297.057879,3.006466,31.435948,166.174486,13.605508,4.172487
0.010000,251.666566,296.773812,3.337458,33.099168,166.321959,14.747355,4.174320
0.010000,251.488699,296.475131,3.685089,34.763091,166.392283,7.032349,4.176239
0.010000,251.302923,296.161771,4.049379,36.429044,166.595330,20.304749,4.178242
