dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,240.662097,307.539024,0.000747,0.149371,14.937107,1493.710692,4.154215
0.010000,240.662097,307.539024,0.003734,0.448113,29.874214,1493.710692,4.154231
0.010000,240.662097,307.539024,0.010456,0.896226,44.811321,1493.710692,4.154267
0.010000,240.662097,307.539024,0.022406,1.493711,59.748428,1493.710692,4.154330
0.010000,240.662097,307.539024,0.041077,2.240566,74.685535,1493.710692,4.154428
0.010000,240.662097,307.539024,0.067964,3.136792,89.622642,1493.710692,4.154570
0.010000,240.662097,307.539024,0.104560,4.182390,104.559748,1493.710692,4.154763
0.010000,240.662097,307.539024,0.152358,5.377358,119.496855,1493.710692,4.155015
0.010000,240.662097,307.539024,0.212854,6.721698,134.433962,1493.710692,4.155333
0.010000,240.652013,307.522823,0.287539,8.215409,149.371069,1493.710692,4.155727
0.010000,240.604283,307.446083,0.377909,9.858491,164.308176,1493.710692,4.156202
0.010000,240.547530,307.354731,0.485456,11.650943,179.245283,1493.710692,4.156768
0.010000,240.481382,307.248111,0.610928,13.443396,179.245283,0.000000,4.157427
0.010000,240.405871,307.126208,0.754324,15.235849,179.245283,-0.000000,4.158179
0.010000,240.321029,306.988997,0.915645,17.028302,179.245283,0.000000,4.159024
0.010000,240.226900,306.836461,1.094890,18.820755,179.245283,0.000000,4.159962
0.010000,240.123520,306.668565,1.292060,20.613208,179.245283,0.000000,4.160992
0.010000,240.010939,306.485285,1.507154,22.405660,179.245283,-0.000000,4.162114
0.010000,239.889209,306.286590,1.740173,24.198113,179.245283,0.000000,4.163327
0.010000,239.758384,306.072446,1.991116,25.990566,179.245283,-0.000000,4.164631
0.010000,239.618525,305.842818,2.259984,27.783019,179.245283,0.000000,4.166025
0.010000,239.469694,305.597667,2.546777,29.575472,179.245283,-0.000000,4.167508
0.010000,239.311959,305.336952,2.851494,31.367925,179.245283,0.000000,4.169080
0.010000,239.145393,305.060633,3.174135,33.160377,179.245283,0.000000,4.170740
0.010000,238.970070,304.768663,3.514701,34.952830,179.245283,-0.000000,4.172487
0.010000,238.786068,304.460994,3.873192,36.745283,179.245283,0.000000,4.174320
0.010000,238.593474,304.137583,4.249607,38.537736,179.245283,-0.000000,4.176239
0.010000,238.392373,303.798374,4.643947,40.330189,179.245283,0.000000,4.178242
0.010000,238.182858,303.443319,5.056211,42.122642,179.245283,0.000000,4.180329
0.010000,237.965021,303.072360,5.486399,43.915094,179.245283,0.000000,4.182498
0.010000,237.738963,302.685447,5.934513,45.707547,179.245283,0.000000,4.184749
0.010000,237.504785,302.282519,6.400550,47.500000,179.245283,0.000000,4.187080
0.010000,237.262592,301.863516,6.884513,49.292453,179.245283,0.000000,4.189490
0.010000,237.012494,301.428383,7.386399,51.084906,179.245283,0.000000,4.191977
0.010000,236.754604,300.977056,7.906211,52.877358,179.245283,0.000000,4.194541
0.010000,236.489036,300.509474,8.443947,54.669811,179.245283,0.000000,4.197180
0.010000,236.215909,300.025573,8.999607,56.462264,179.245283,0.000000,4.199892
0.010000,235.935347,299.525290,9.573192,58.254717,179.245283,-0.000000,4.202677
0.010000,235.647473,299.008559,10.164701,60.047170,179.245283,0.000000,4.205532
0.010000,235.352414,298.475314,10.774135,61.839623,179.245283,0.000000,4.208456
0.010000,235.050302,297.925489,11.401494,63.632075,179.245283,0.000000,4.211447
0.010000,234.741270,297.359020,12.046777,65.424528,179.245283,-0.000000,4.214503
0.010000,234.425453,296.775835,12.709984,67.216981,179.245283,0.000000,4.217623
0.010000,234.102990,296.175872,13.391116,69.009434,179.245283,-0.000000,4.220805
0.010000,233.774019,295.559058,14.090173,70.801887,179.245283,0.000000,4.224046
0.010000,233.438685,294.925329,14.807154,72.594340,179.245283,-0.000000,4.227346
0.010000,233.097131,294.274618,15.542060,74.386792,179.245283,0.000000,4.230701
0.010000,232.749502,293.606855,16.294890,76.179245,179.245283,-0.000000,4.234110
0.010000,232.395947,292.921975,17.065645,77.971698,179.245283,0.000000,4.237570
0.010000,232.036614,292.219911,17.854324,79.764151,179.245283,-0.000000,4.241080
0.010000,231.671654,291.500597,18.660928,81.556604,179.245283,0.000000,4.244636
0.010000,231.301217,290.763967,19.485456,83.349057,179.245283,0.000000,4.248237
0.010000,230.925456,290.009959,20.327909,85.141509,179.245283,0.000000,4.251880
0.010000,230.544853,289.239177,21.187539,86.784591,164.308176,-1493.710692,4.255559
0.010000,230.160207,288.452906,22.062854,88.278302,149.371069,-1493.710692,4.259266
0.010000,229.772298,287.652441,22.952358,89.622642,134.433962,-1493.710692,4.262993
0.010000,229.381884,286.839088,23.854560,90.817610,119.496855,-1493.710692,4.266730
0.010000,228.989704,286.014164,24.767964,91.863208,104.559748,-1493.710692,4.270470
0.010000,228.596475,285.178994,25.691077,92.759434,89.622642,-1493.710692,4.274206
0.010000,228.202891,284.334920,26.622406,93.506289,74.685535,-1493.710692,4.277929
0.010000,227.809626,283.483285,27.560456,94.103774,59.748428,-1493.710692,4.281632
0.010000,227.417332,282.625453,28.503734,94.551887,44.811321,-1493.710692,4.285309
0.010000,227.026640,281.762786,29.450747,94.850629,29.874214,-1493.710692,4.288954
0.010000,226.638162,280.896667,30.400000,95.000000,14.937107,-1493.710692,4.292558
0.010000,226.252484,280.028478,31.350000,95.000000,0.000000,-1493.710692,4.296118
