dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,227.938740,315.483594,0.000747,0.149371,14.937107,1493.710692,4.154215
0.010000,227.938615,315.483393,0.000983,0.023644,-12.572708,-2750.981529,4.154231
0.010000,227.938333,315.482942,0.001515,0.053197,2.955277,1552.798492,4.154267
0.010000,227.937832,315.482140,0.002461,0.094564,4.136767,118.149073,4.154330
0.010000,227.937050,315.480887,0.003938,0.147737,5.317307,118.053947,4.154428
0.010000,227.935924,315.479082,0.006065,0.212700,6.496288,117.898128,4.154570
0.010000,227.934392,315.476626,0.008960,0.289430,7.672952,117.666362,4.154763
0.010000,227.932393,315.473420,0.012739,0.377894,8.846385,117.343314,4.155015
0.010000,227.929865,315.469362,0.017519,0.478049,10.015520,116.913539,4.155333
0.010000,227.916663,315.448153,0.042501,2.498196,202.014691,19199.917055,4.155727
0.010000,227.865166,315.365357,0.140006,9.750517,725.232069,52321.737809,4.156202
0.010000,227.803937,315.266801,0.256033,11.602653,185.213657,-54001.841231,4.156768
0.010000,227.732578,315.151781,0.391390,13.535772,193.311927,809.827069,4.157427
0.010000,227.651124,315.020285,0.546071,15.468028,193.225532,-8.639531,4.158179
0.010000,227.559615,314.872289,0.720073,17.400210,193.218240,-0.729157,4.159024
0.010000,227.458097,314.707780,0.913384,19.331084,193.087408,-13.083240,4.159962
0.010000,227.346615,314.526727,1.126006,21.262289,193.120488,3.308032,4.160992
0.010000,227.225227,314.329108,1.357930,23.192331,193.004201,-11.628751,4.162114
0.010000,227.093991,314.114898,1.609144,25.121468,192.913707,-9.049414,4.163327
0.010000,226.952972,313.884066,1.879643,27.049874,192.840579,-7.312771,4.164631
0.010000,226.802237,313.636583,2.169417,28.977426,192.755193,-8.538615,4.166025
0.010000,226.641861,313.372414,2.478458,30.904004,192.657857,-9.733571,4.167508
0.010000,226.471921,313.091526,2.806752,32.829493,192.548899,-10.895841,4.169080
0.010000,226.292501,312.793884,3.154290,34.753780,192.428661,-12.023715,4.170740
0.010000,226.103687,312.479447,3.521061,36.677080,192.329951,-9.871057,4.172487
0.010000,225.905570,312.148176,3.907055,38.599363,192.228313,-10.163761,4.174320
0.010000,225.698249,311.800036,4.312250,40.519565,192.020255,-20.805791,4.176239
0.010000,225.481824,311.434978,4.736641,42.439067,191.950198,-7.005707,4.178242
0.010000,225.256400,311.052964,5.180206,44.356525,191.745742,-20.445580,4.180329
0.010000,225.022086,310.653946,5.642936,46.272959,191.643461,-10.228197,4.182498
0.010000,224.778998,310.237884,6.124807,48.187089,191.412929,-23.053150,4.184749
0.010000,224.527252,309.804727,6.625807,50.100007,191.291843,-12.108588,4.187080
0.010000,224.266969,309.354429,7.145917,52.011060,191.105299,-18.654391,4.189490
0.010000,223.998277,308.886945,7.685117,53.919971,190.891129,-21.416998,4.191977
0.010000,223.721306,308.402227,8.243387,55.826959,190.698761,-19.236823,4.194541
0.010000,223.436190,307.900225,8.820706,57.731896,190.493717,-20.504385,4.197180
0.010000,223.143064,307.380892,9.417052,59.634663,190.276657,-21.705968,4.199892
0.010000,222.842071,306.844179,10.032404,61.535145,190.048242,-22.841552,4.202677
