dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,122.393424,83.477167,0.395833,7.916667,79.166667,791.666667,6.282534
0.100000,124.031704,83.473046,2.034118,16.382851,84.661841,54.951743,6.278870
0.100000,127.290299,83.448573,5.292805,32.586868,162.040169,773.783283,6.272735
0.100000,132.133949,83.381378,10.136921,48.441161,158.542933,-34.972362,6.266460
0.100000,138.511169,83.261924,16.515260,63.783389,153.422283,-51.206498,6.263460
0.100000,146.354386,83.119772,24.359766,78.445054,146.616650,-68.056332,6.268270
0.100000,155.195638,83.055383,33.201252,88.414860,99.698053,-469.185975,0.002590
0.100000,164.203931,83.213766,42.210938,90.096859,16.819995,-828.780571,0.035250
0.100000,172.959002,83.722591,50.980781,87.698436,-23.984227,-408.042222,0.083870
0.100000,181.409993,84.700612,59.488177,85.073957,-26.244792,-22.605652,0.149940
0.100000,189.489325,86.258188,67.716278,82.281012,-27.929454,-16.846618,0.234570
0.100000,197.123831,88.488900,75.670004,79.537255,-27.437569,4.918846,0.337421
0.100000,204.254180,91.462751,83.395654,77.256499,-22.807558,46.300108,0.455411
0.100000,210.830691,95.211411,90.965525,75.698719,-15.577806,72.297521,0.581692
0.100000,216.595981,99.524564,98.165654,72.001288,-36.974301,-213.964949,0.702165
0.100000,221.199518,103.833624,104.471251,63.055969,-89.453198,-524.788969,0.801168
0.100000,224.616886,107.633502,109.581777,51.105259,-119.507098,-300.539003,0.874382
0.100000,227.019609,110.661756,113.447447,38.656698,-124.485605,-49.785063,0.925081
0.100000,228.533957,112.739461,116.018459,25.710125,-129.465735,-49.801302,0.956554
0.100000,229.256809,113.780847,117.286134,12.676744,-130.333808,-8.680733,0.971425
0.100000,229.431900,114.038113,117.597329,3.111956,-95.647876,346.859323,0.975012
0.100000,229.431900,114.038113,117.597329,0.000000,-31.119564,645.283114,0.975012
