dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,122.383653,68.477170,0.395833,7.916667,79.166667,791.666667,6.282534
0.100000,123.966981,68.473186,1.979167,23.750000,158.333333,791.666667,6.278870
0.100000,127.133553,68.449392,5.145833,39.583333,158.333333,0.000000,6.272735
0.100000,131.883088,68.383476,9.895833,55.416667,158.333333,0.000000,6.266460
0.100000,138.215309,68.264842,16.229167,71.250000,158.333333,-0.000000,6.263460
0.100000,146.130669,68.121441,24.145833,87.083333,158.333333,0.000000,6.268270
0.100000,155.234481,68.055433,33.250000,95.000000,79.166667,-791.666667,0.002590
0.100000,164.732578,68.223084,42.750000,95.000000,0.000000,-791.666667,0.035250
0.100000,174.215578,68.775316,52.250000,95.000000,0.000000,0.000000,0.083870
0.100000,183.650681,69.868912,61.750000,95.000000,0.000000,0.000000,0.149940
0.100000,192.975694,71.668972,71.250000,95.000000,0.000000,0.000000,0.234570
0.100000,202.089643,74.334724,80.750000,95.000000,0.000000,0.000000,0.337421
0.100000,210.851646,77.991543,90.250000,95.000000,0.000000,0.000000,0.455411
0.100000,219.072264,82.678396,99.719140,94.382809,-6.171914,-61.719136,0.581692
0.100000,226.284057,88.072875,108.730728,85.848951,-85.338580,-791.666667,0.702165
0.100000,231.972054,93.395594,116.523957,70.015617,-158.333333,-729.947531,0.801168
0.100000,236.124092,98.011433,122.733852,54.182284,-158.333333,0.000000,0.874382
0.100000,238.999651,101.635206,127.360414,38.348951,-158.333333,-0.000000,0.925081
0.100000,240.792112,104.094367,130.403642,22.515617,-158.333333,0.000000,0.956554
0.100000,241.642167,105.318997,131.894397,7.299475,-152.161420,61.719136,0.971425
0.100000,241.847527,105.620738,132.259370,0.000000,-72.994753,791.666667,0.975012
0.100000,241.847527,105.620738,132.259370,0.000000,0.000000,729.947531,0.975012
