dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,182.295523,42.379719,0.005864,0.586420,29.320988,1466.049383,0.018701
0.020000,182.295700,42.379722,0.006041,0.008843,-28.878836,-2909.991161,0.018689
0.020000,182.296097,42.379729,0.006439,0.019892,0.552429,1471.563250,0.018662
0.020000,182.329244,42.380347,0.039591,1.657590,81.884929,4066.624998,0.018615
0.020000,182.476927,42.383091,0.187299,7.385428,286.391891,10225.348104,0.018542
0.020000,182.689589,42.387023,0.399998,10.634919,162.474532,-6195.867965,0.018436
0.020000,182.973135,42.392231,0.683592,14.179712,177.239674,738.257098,0.018295
0.020000,183.327563,42.398685,1.038079,17.724351,177.231950,-0.386210,0.018119
0.020000,183.752870,42.406347,1.463455,21.268799,177.222392,-0.477904,0.017909
0.020000,184.249052,42.415173,1.959715,24.813017,177.210906,-0.574312,0.017664
0.020000,184.816104,42.425112,2.526854,28.356964,177.197322,-0.679184,0.017386
0.020000,185.454022,42.436104,3.164867,31.900603,177.181959,-0.768151,0.017074
0.020000,186.162798,42.448085,3.873744,35.443897,177.164728,-0.861569,0.016729
0.020000,186.942428,42.460981,4.653481,38.986805,177.145402,-0.966255,0.016352
0.020000,187.792903,42.474715,5.504066,42.529290,177.124257,-1.057281,0.015942
0.020000,188.714215,42.489201,6.425493,46.071315,177.101244,-1.150660,0.015501
0.020000,189.706356,42.504347,7.417749,49.612837,177.076062,-1.259090,0.015030
0.020000,190.769317,42.520058,8.480826,53.153820,177.049180,-1.344067,0.014529
0.020000,191.903086,42.536230,9.614710,56.694225,177.020255,-1.446275,0.013998
0.020000,193.107653,42.552755,10.819391,60.234013,176.989393,-1.543100,0.013439
0.020000,194.383005,42.569521,12.094854,63.773147,176.956686,-1.635352,0.012853
0.020000,195.729131,42.586410,13.441085,67.311584,176.921869,-1.740838,0.012240
0.020000,197.146016,42.603300,14.858071,70.849291,176.885345,-1.826201,0.011601
0.020000,198.633646,42.620065,16.345796,74.386224,176.846628,-1.935859,0.010938
0.020000,200.192006,42.636575,17.904242,77.922347,176.806164,-2.023215,0.010251
0.020000,201.821078,42.652697,19.533395,81.457620,176.763650,-2.125678,0.009543
0.020000,203.520847,42.668296,21.233235,84.992004,176.719214,-2.221811,0.008812
0.020000,205.285392,42.683185,22.997843,88.230390,161.919299,-739.995725,0.008065
0.020000,207.102894,42.697152,24.815399,90.877805,132.370735,-1477.428238,0.007306
0.020000,208.961539,42.710020,26.674088,92.934443,102.831916,-1476.940931,0.006542
0.020000,210.849513,42.721646,28.562098,94.400514,73.303546,-1476.418495,0.005777
0.020000,212.755010,42.731930,30.467623,95.276238,43.786173,-1475.868663,0.005018
0.020000,214.666226,42.740802,32.378860,95.561841,14.280185,-1475.299405,0.004269
0.020000,216.577261,42.748254,34.289909,95.552456,-0.469278,-737.473133,0.003532
0.020000,218.488113,42.754309,36.200770,95.543068,-0.469373,-0.004755,0.002808
0.020000,220.398781,42.758993,38.111444,95.533679,-0.469442,-0.003463,0.002096
0.020000,222.309264,42.762328,40.021929,95.524290,-0.469490,-0.002364,0.001397
0.020000,224.219560,42.764340,41.932227,95.514899,-0.469557,-0.003379,0.000711
0.020000,226.129670,42.765052,43.842338,95.505506,-0.469629,-0.003576,0.000037
0.020000,228.039593,42.764489,45.752260,95.496112,-0.469679,-0.002530,6.282561
0.020000,229.949326,42.762674,47.661994,95.486718,-0.469717,-0.001901,6.281912
0.020000,231.858870,42.759633,49.571541,95.477323,-0.469763,-0.002289,6.281275
0.020000,233.768224,42.755388,51.480899,95.467927,-0.469813,-0.002494,6.280651
0.020000,235.677387,42.749965,53.390070,95.458530,-0.469848,-0.001747,6.280040
0.020000,237.586358,42.743387,55.299052,95.449132,-0.469877,-0.001438,6.279441
0.020000,239.495137,42.735679,57.207847,95.439734,-0.469907,-0.001516,6.278855
0.020000,241.403724,42.726864,59.116454,95.430335,-0.469938,-0.001532,6.278281
0.020000,243.312117,42.716967,61.024872,95.420936,-0.469960,-0.001103,6.277720
0.020000,245.220316,42.706012,62.933103,95.411536,-0.469980,-0.000998,6.277171
0.020000,247.128321,42.694023,64.841146,95.402136,-0.469999,-0.000992,6.276635
0.020000,249.036131,42.681025,66.749001,95.392736,-0.470014,-0.000705,6.276111
0.020000,250.943747,42.667041,68.656667,95.383336,-0.470025,-0.000588,6.275600
0.020000,252.851167,42.652095,70.564146,95.373935,-0.470037,-0.000597,6.275102
0.020000,254.758392,42.636211,72.471437,95.364534,-0.470050,-0.000661,6.274616
0.020000,256.665420,42.619415,74.378539,95.355133,-0.470051,-0.000017,6.274142
0.020000,258.572253,42.601729,76.285454,95.345732,-0.470055,-0.000189,6.273681
0.020000,260.478889,42.583177,78.192181,95.336331,-0.470059,-0.000244,6.273233
0.020000,262.385329,42.563785,80.098719,95.326929,-0.470069,-0.000477,6.272797
0.020000,264.291573,42.543575,82.005070,95.317528,-0.470058,0.000528,6.272373
0.020000,266.197619,42.522573,83.911232,95.308127,-0.470056,0.000105,6.271962
0.020000,268.103470,42.500801,85.817207,95.298726,-0.470055,0.000050,6.271564
0.020000,270.009123,42.478285,87.722993,95.289324,-0.470063,-0.000397,6.271178
