dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,182.856506,12.384964,0.005864,0.586420,29.320988,1466.049383,0.018701
0.020000,182.856329,12.384961,0.006041,0.008843,-28.878836,-2909.991161,0.018689
0.020000,182.855932,12.384953,0.006439,0.019892,0.552429,1471.563250,0.018662
0.020000,182.887664,12.385544,0.038177,1.586900,78.350421,3889.899576,0.018615
0.020000,183.033140,12.388247,0.183678,7.275066,284.408293,10302.893583,0.018542
0.020000,183.242628,12.392121,0.393202,10.476193,160.056334,-6217.597937,0.018436
0.020000,183.521950,12.397251,0.672571,13.968436,174.612176,727.792116,0.018295
0.020000,183.871109,12.403609,1.021787,17.460833,174.619829,0.382648,0.018119
0.020000,184.290109,12.411158,1.440856,20.953423,174.629493,0.483209,0.017909
0.020000,184.778957,12.419854,1.929781,24.446244,174.641077,0.579202,0.017664
0.020000,185.337658,12.429646,2.488567,27.939332,174.654416,0.666942,0.017386
0.020000,185.966219,12.440477,3.117222,31.432729,174.669825,0.770449,0.017074
0.020000,186.664648,12.452283,3.815751,34.926473,174.687219,0.869681,0.016729
0.020000,187.432955,12.464992,4.584163,38.420601,174.706377,0.957929,0.016352
0.020000,188.271149,12.478527,5.422467,41.915152,174.727573,1.059761,0.015942
0.020000,189.179240,12.492805,6.330670,45.410168,174.750761,1.159408,0.015501
0.020000,190.157240,12.507736,7.308783,48.905680,174.775648,1.244357,0.015030
0.020000,191.205160,12.523224,8.356818,52.401734,174.802699,1.352562,0.014529
0.020000,192.323014,12.539169,9.474785,55.898366,174.831578,1.443922,0.013998
0.020000,193.510814,12.555465,10.662698,59.395614,174.862392,1.540727,0.013439
0.020000,194.768576,12.571999,11.920568,62.893519,174.895236,1.642178,0.012853
0.020000,196.096314,12.588658,13.248410,66.392116,174.929850,1.730710,0.012240
0.020000,197.494043,12.605319,14.646239,69.891448,174.966634,1.839214,0.011601
0.020000,198.961781,12.621860,16.114070,73.391550,175.005112,1.923871,0.010938
0.020000,200.499544,12.638151,17.651920,76.892465,175.045724,2.030634,0.010251
0.020000,202.107350,12.654063,19.259804,80.394228,175.088176,2.122589,0.009543
0.020000,203.785217,12.669461,20.937742,83.896880,175.132593,2.220871,0.008812
0.020000,205.527337,12.684161,22.679924,87.109112,160.611587,-726.050324,0.008065
0.020000,207.322074,12.697953,24.474714,89.739475,131.518141,-1454.672312,0.007306
0.020000,209.157785,12.710661,26.310469,91.787775,102.414981,-1455.157960,0.006542
0.020000,211.022826,12.722147,28.175545,93.253802,73.301371,-1455.680545,0.005777
0.020000,212.905545,12.732307,30.058292,94.137337,44.176771,-1456.229963,0.005018
0.020000,214.794288,12.741075,31.947055,94.438154,15.040845,-1456.796310,0.004269
0.020000,216.683224,12.748441,33.836006,94.447540,0.469297,-728.577406,0.003532
0.020000,218.572354,12.754428,35.725144,94.456927,0.469357,0.003008,0.002808
0.020000,220.461674,12.759059,37.614471,94.466316,0.469432,0.003760,0.002096
0.020000,222.351185,12.762358,39.503985,94.475706,0.469519,0.004341,0.001397
